name,amenity,shop,longitude,latitude
Carrefour Express,,convenience,29.079602050000002,41.07978305
,,convenience,28.979943000000006,41.026056049999994
Petrol Ofisi Market Plus,,convenience,28.972254435105746,41.078732395314994
Lion Market,,convenience,28.4539787,41.15045155
Carrefour Express,,convenience,29.052021171983206,40.975118112350664
Mini Market,,convenience,28.36414652992964,41.25806956325614
Carrefour Express,,convenience,29.296231879679738,40.9202087525848
,,convenience,29.054373849999998,41.03456915
Yaşar Tekel,,convenience,29.127533200000002,40.939427200000004
Shell Select,,convenience,28.819677412981154,40.98654431839458
Shell Select,,convenience,28.08426665,41.06052319999999
,,convenience,29.258426492947653,40.96569783653066
deli2go,,convenience,28.768081254624043,41.03353498698897
Shell Select,,convenience,28.562443370012176,41.017358808624536
Shell Shop,,convenience,28.954930450000003,41.016493350000005
Tuana Market,,convenience,28.938024970870803,41.02159464955027
,,convenience,29.035559081927232,41.00468530696184
Orkar,,convenience,28.831143935993005,41.008195043554984
Bizim Toptan Market,,convenience,28.83084120563234,41.01012328487571
uyum,,convenience,29.155019881914075,40.94804481844153
,,convenience,29.126897322115834,40.969269628821344
,,convenience,29.12345377046617,40.96864923597675
,,convenience,29.214545160575383,40.92897200270094
Migros Jet,,convenience,29.18221892486914,41.0318616049246
Antaş Hipermarketleri,,convenience,29.098260786086968,41.00886735946071
,,convenience,28.790702447853064,40.98850262829225
Timur Gıda,,convenience,29.13450377862278,41.00150189460205
Yeşilvadi Market,,convenience,29.128440731229652,41.02862396340576
,,convenience,28.78106122355926,41.07758638487594
,,convenience,29.16466503187632,41.00991916741131
Ayken Market,,convenience,28.523710141435057,41.03186887172253
Show Market,,convenience,28.63519625790943,41.02315395015861
,,convenience,29.04235642661189,40.989560910867944
Volkan Tekel,,convenience,29.08687203593991,41.00577401712493
Koçtaş,,convenience,29.03602152636364,41.02386801600181
,,convenience,29.561504582001884,41.1680099082887
Migros Jet,,convenience,29.025446595157955,40.99332005335065
,,convenience,28.752319464101085,41.247816717041715
Shell Select,,convenience,28.545985524498704,41.01452582763935
,,convenience,29.158984410371637,41.18045187275318
Mopaş,,convenience,29.09682385,41.12724920000001
Burak Gıda ve Peynircilik,,convenience,29.092440926210024,41.132776813934356
Münüp Nostalji,,convenience,29.09207604841674,41.13456830802438
Kahraman Büfe,,convenience,29.100421699999995,41.123244199999995
Deniz Büfe,,convenience,29.098368904585428,41.12567686566155
Grosa Market,,convenience,28.76898682623964,41.10725763790375
Zirve Market,,convenience,28.768829434569906,41.109161705952665
Kordon Büfe,fast_food,convenience,28.585629177464586,41.01847702402721
Bonjour,,convenience,29.08129747619498,41.023805089307224
Özkuruşlar MArket,,convenience,29.12228279721521,40.936306316985856
Olimpiyat Et  Gıda Şarküteri,,convenience,29.247206255950413,40.90455462445494
,,convenience,29.318250902859482,40.830585698013294
,,convenience,29.318420090393296,40.830432493636955
Kaya Market,,convenience,29.019127987835446,41.016897035579234
,,convenience,29.08689244408976,41.08054161748367
Carrefour Express,,convenience,29.19682946249609,41.012455125580104
Özkuruşlar,,convenience,29.195213238901683,41.01037913336063
Shell Select,,convenience,28.71884086298717,40.98846087089812
Total,,convenience,28.035883900000005,41.04349915
Shell Select,,convenience,28.803068566750532,41.04309421369778
Petrol Ofisi Marketi,,convenience,28.863143780939378,41.094621169040735
,,convenience,28.704459839971868,41.24344694730639
Shell Select,,convenience,28.624713321570145,41.07905820076234
Shell Select,,convenience,28.91709089853283,41.04545157370948
Shell Shop,,convenience,28.37037692860927,41.05641303224516
,,convenience,28.768046273284135,41.01427233114568
,,convenience,28.702404755254776,41.257643593791414
Total,,convenience,28.738397893660345,41.25158275065273
Shell Select,,convenience,28.822443589638443,41.19566724164208
,,convenience,28.938918796516017,41.05660854264437
,,convenience,28.679465858210637,41.01177275083102
,,convenience,29.033697618705787,41.05443707988947
Shell Select,,convenience,28.88452667390242,41.09139462435232
,,convenience,28.893818400695334,41.03667489196236
,,convenience,28.895868091869325,41.04234353291916
,,convenience,28.91046389978333,41.05175422547837
,,convenience,28.435775899440028,41.28984390463512
,,convenience,28.906250916362428,41.05835636352749
,,convenience,28.949745949999997,41.003684650000004
,,convenience,28.933211965811587,41.0656535109865
Total,,convenience,28.871854774690977,40.99701756294369
,,convenience,28.8970471731481,41.055836020117155
,,convenience,28.945481667618303,41.08046070280181
,,convenience,28.93080846697183,41.07940743819781
,,convenience,28.919778777958104,40.99121971199583
Shell Select,,convenience,29.1297102518639,41.020819735795314
,,convenience,28.826158602171542,41.19925459570139
,,convenience,28.671990867981187,41.055505654706515
,,convenience,28.630917645599226,41.018798927029394
,,convenience,28.89603561206224,41.081473562134306
File Market,,convenience,28.80454689116781,41.10516858070833
