name,amenity,longitude,latitude
Validebağ Devlet Hastanesi,hospital,29.040877743033622,41.01220159451507
Hadımköy Dr. İsmail Niyazi Kurtulmuş Hastanesi,hospital,28.619494818334093,41.15522190080645
Orion Surgery Center,hospital,28.981972113984387,41.09007212353086
Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi,hospital,28.99004167351327,41.037591350027235
Çapa Tıp Fakültesi Hastanesi,hospital,28.933917245131177,41.0167251797893
Özel Çapa Hastanesi,hospital,28.93417578138925,41.01332207969112
İstanbul Bezmialem Vakıf Üniversitesi Valide Sultan Gureba Hastanesi,hospital,28.935805150918846,41.01839939066624
Medilife Çapa Hastanesi,hospital,28.933459124094696,41.014829905788666
İstanbul Esnaf Hastanesi,hospital,28.96223086542626,41.01396577598571
İstanbul Eğitim ve Araştırma Hastanesi,hospital,28.93804535325536,41.003258344679786
SBÜ Sultan Abdülhamid Han Eğitim ve Araştırma Hastanesi,hospital,29.02097826754317,41.001195620109506
Şişli Etfal Eğitim ve Araştırma Hastanesi,hospital,28.990693231951358,41.05785907463875
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,hospital,29.022857739959964,41.00491606239202
Dr. Lütfi Kırdar Kartal Eğitim ve Araştırma Hastanesi,hospital,29.173552201738698,40.91547682798914
Okmeydanı Profesör Doktor Cemil Taşçıoğlu Şehir Hastanesi,hospital,28.9749745150814,41.06472920962048
Göztepe Prof. Dr. Süleyman Yalçın Şehir Hastanesi,hospital,29.056854530811055,40.986338139048065
Maltepe Üniversitesi Hastanesi,hospital,29.13514796059067,40.92552174921144
,hospital,29.053221249999996,41.08409525
Acıbadem International Hospital,hospital,28.835518477743793,40.95888617624231
Fransız Lape Hastanesi,hospital,28.990579511896726,41.06189962731797
Erenköy Polikliniği,hospital,29.076393927488557,40.97215198633679
Fatih Sultan Mehmet Eğitim ve Araştırma Hastanesi,hospital,29.1048682948531,40.97098839206228
Yeditepe Üniversitesi Kozyatağı Hastanesi,hospital,29.10352226502524,40.968887090273626
Avicenna Hastanesi,hospital,29.108622000000004,40.979302600000004
,hospital,29.10763275815537,40.97128664197476
Kolan Hospital-Beylikdüzü,hospital,28.629591342017214,41.006606152102734
Erenköy Ruh ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,hospital,29.088618031024115,40.974977576749474
Emsey Hastanesi,hospital,29.28886181501014,40.92368575441379
Haydarpaşa Numune Hastanesi Yeldeğirmeni Semt Polikliniği,hospital,29.029009095685122,40.993070824416314
Fatih Medical Park Hastanesi,hospital,28.952268517141377,41.01479902151175
Esenyurt Necmi Kadıoğlu Devlet Hastanesi,hospital,28.66838314753684,41.02863804255712
Büyükçekmece Devlet Hastanesi Gürpınar Poliklinikleri,hospital,28.607599640897213,40.996462386039894
İstanbul Tıp Merkezi,hospital,28.999195730181228,41.071064482970556
Karakoy Sahil Saglik Denetleme Merkezi,hospital,28.976614459452215,41.02203199599985
Özel Gazi Hastanesi,hospital,28.8985903013395,41.101014858507355
Florence Nightingale Hastanesi,hospital,29.041712288134566,40.98162725360874
Dünyagöz,hospital,29.04800336335727,40.97684257989029
Esenyurt Devlet Hastanesi (Ek Binası),hospital,28.68302207801807,41.032500127070364
Tepe Özel Kliniği,hospital,29.061566560195665,41.03652547481847
Erenköy Fizik Tedavi ve Rehabilitasyon Hastanesi,hospital,29.083683009678573,40.97484035260566
Dr. Siyami Ersek Göğüs Kalp ve Damar Cerrahisi Eğitim ve Araştırma Hastanesi,hospital,29.024350610150105,41.003949764204506
Erenköy Fizik Tedavi ve Reahabilitasyon Hastanesi,hospital,29.06562753920075,40.98597989489424
Acıbadem Kadıköy Hastanesi,hospital,29.043081459391228,41.007136787588614
Medipol,hospital,29.034143606559912,41.00483509271596
Özel Intermed Çiftehavuzlar Polikliniği,hospital,29.05356495,40.969290599999994
İtalyan Hastanesi - Giovanni Alberto Agnelli,hospital,28.98116711986051,41.02847363234936
Sağlık Merkezi,hospital,29.070135250000003,41.20356745
Beylikdüzü Devlet Hastanesi,hospital,28.624541809920323,41.01468068286692
Medihaus Tıp Merkezi,hospital,28.656911362584044,41.01337140147725
Başakşehir Tıp Merkezi,hospital,28.79345604137146,41.10556199030361
,hospital,29.041581095120215,41.205057152082304
Delta Hospital,hospital,29.125119060981653,40.9461704592894
Maltepe Üniversitesi Kadın Doğum ve Çocuk Hastanesi,hospital,29.13331678123535,40.92603382871951
Pendik Devlet Hastanesi Kurtköy Semt Polikliniği,hospital,29.307877735129324,40.92537140023898
Acıbadem Hospital,hospital,28.65590579694557,41.00355858464751
Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi,hospital,29.26281975689594,40.88665130912257
Ümraniye Eğitim ve Araştırma Hastanesi,hospital,29.101413326668396,41.03231023085579
İlgi Hastanesi,hospital,28.8666982961712,41.020911396866445
Aile Hastanesi,hospital,28.86695517251874,40.99740070213763
Memorial Bahçelievler Hastanesi,hospital,28.85280157276541,40.99321369707472
Acıbadem Üniversitesi Hastanesi,hospital,28.77879512067153,41.034825450425444
Mehmet Akif Ersoy Göğüs Kalp Ve Damar Cerrahisi Eğitim Ve Araştırma Hastanesi,hospital,28.776890550768943,41.033515614573105
Kanuni Sultan Süleyman Eğitim ve Araştırma Hastanesi,hospital,28.759489161628046,41.05458071042992
Beykoz Devlet Hastanesi Tepeüstü Ek Binası,hospital,29.086195618109794,41.110636459665386
,hospital,29.004999656716706,41.090152897327
Özel Avrasya Hastanesi,hospital,28.90667641634278,41.003246970621035
Çatalca İlyas Çokay Devlet Hastanesi,hospital,28.466665298217087,41.1353456293818
Şile Devlet Hastanesi,hospital,29.61684520544166,41.17461824424925
Zeynep Kamil Kadın Ve Çocuk Hastalıkları Eğitim Ve Araştırma Hastanesi,hospital,29.025855548704943,41.01502276485041
Acıbadem Kozyatağı Hastanesi,hospital,29.093069004175952,40.976674727737304
Memorial Şişli Hastanesi,hospital,28.97266473924722,41.06162585736019
"Yakacık Kadın, Doğum ve Çocuk Hastalıkları Hastanesi",hospital,29.21894297309361,40.91783628880653
Bezmialem Üniversitesi Dragos Hastanesi,hospital,29.137942680056742,40.91002972227521
Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,hospital,28.86533994085342,40.99378302241536
Ataşehir Memorial Hastanesi,hospital,29.107007717436446,40.98421810698039
Liv Hospital Ulus,hospital,29.0285250910283,41.060841167199875
Ethica Hastanesi,hospital,28.872605845694785,40.997247076829886
Üsküdar Devlet Hastanesi,hospital,29.038963609535536,41.01582271368942
Özel Diyabet Hastanesi,hospital,29.033397763551065,40.9982598859423
Özel Güngören Hastanesi,hospital,28.8717470638689,41.026980926199315
Medical Park,hospital,28.863018827739282,40.9958435873629
Medipol Üniversitesi Sefaköy Sağlık Uygulama Merkezi Hastanesi,hospital,28.798293253529817,41.014852766494215
Özel Ataşehir Hastanesi,hospital,29.175636133036456,40.98608579748953
Arnavutköy Devlet Hastanesi,hospital,28.746945315256337,41.177621544454404
Avicenna Umut Hastanesi,hospital,29.177649676877454,40.89070382886792
Or-Ayahim Özel Balat Hastanesi,hospital,28.945585724741047,41.03846040257095
SBÜ Süreyyapaşa Göğüs Hastalıkları Hastanesi,hospital,29.140642856884796,40.95056488118791
Veni Vidi Göz,hospital,29.063020242078665,40.97016062360566
Gökjet Özel Havacılık Mesleki ve Teknik Anadolu Lisesi,hospital,28.53251503987001,41.010626782393445
Özel Çamlık Hastanesi,hospital,28.87009259643407,40.98939031868422
Yaşar Hastanesi,hospital,28.87283738458545,40.9837641242122
Medical Park Göztepe,hospital,29.077393607603643,40.989958595591574
Liv Hospital,hospital,29.028500439633827,41.060816624382326
Medicana Böbrek Nakil Merkezi,hospital,29.082928757078008,41.02465511666907
Acıbadem Altunizade Hastanesi,hospital,29.04632447982821,41.018979207109325
Medipol Mega Hastaneler Kompleksi,hospital,28.843314829965216,41.058234421707475
Bahçelievler Devlet Hastanesi,hospital,28.84428609791302,41.00633310186769
Academic Hospital,hospital,29.035000424876237,41.01970298289738
Bayrampaşa Devlet Hastanesi,hospital,28.902263859587244,41.04205791831914
Özel Küçükçekmece Hastanesi,hospital,28.780525528664775,40.99961636909473
Cerrahpaşa Tıp Fakültesi,hospital,28.941541590713353,41.003955007876684
Nisa Hastanesi Acil,hospital,28.829489761806595,40.998970367167495
Nisa Hastanesi,hospital,28.830238406535095,40.999425818964475
Pendik Devlet Hastanesi,hospital,29.229505663122758,40.877118746936624
Medicana Kadıköy,hospital,29.038219443493414,40.98534739337985
Sante Plus Hastanesi,hospital,28.89434721457115,40.998417676433796
Kaynarca Devlet Hastanesi,hospital,29.253249799999995,40.87345345
