name,amenity,shop,leisure,longitude,latitude
Zorlu Center,,mall,,29.017172297864683,41.06649569534644
Mall of İstanbul,,mall,,28.807075937323216,41.06296417350676
Akasya Alışveriş Merkezi,,mall,,29.054839373747697,41.00155566643046
Watergarden AVM,,mall,,29.09950861081127,40.99768674904502
Rings AVM,,mall,,29.240525236838998,40.973535578161325
Mısır Çarşısı,marketplace,mall,,28.971001345243263,41.01644457560809
Büyük Beşiktaş Çarşısı,,mall,,29.005254832530994,41.0427346711966
Sinanpaşa İş Merkezi,,mall,,29.00596793920184,41.04293739764473
İstanbul Cevahir Alışveriş ve Eğlence Merkezi,,mall,,28.992988487812408,41.062587507147576
CarrefourSA Bayrampaşa,,mall,,28.89051504278918,41.04211956997029
Tepe Nautilus Alışveriş Merkezi,,mall,,29.03151479989585,40.99961640561977
Akmerkez,,mall,,29.02692523112886,41.07685089595868
Optimum Premium Outlet,,mall,,29.08575955832054,40.98873354039239
Viaport Outlet Avm,,mall,,29.324913428515938,40.937623072672665
Astoria,,mall,,29.005869030609738,41.068597128541576
Sapphire,,mall,,29.006049766844892,41.0849612610735
,,mall,,29.100263556494003,40.985843560711466
Ataköy Galleria Alışveriş Merkezi,,mall,,28.869530554056915,40.974413166230214
Carousel Alışveriş ve Yaşam Merkezi,,mall,,28.87344687405536,40.9777824185465
Ataköy Marina Park Alışveriş Merkezi,,mall,,28.87575891185884,40.973128596615695
İstinye Park,,mall,,29.032460230824096,41.1103025836925
Trump Alışveriş Merkezi,,mall,,28.992326310387114,41.06842883639193
,,mall,,29.12443205131682,41.02382944242745
CarrefourSA Hiper,,mall,,28.658584893791716,41.01082308105915
Migros AVM,,mall,,28.65773812924949,41.00674221412207
Beylicium AVYM,,mall,,28.649178748404168,41.01155924415501
Brand İstanbul Park,,mall,,28.646860036653322,41.01232853171669
Perlavista Alışveriş Merkezi,,mall,,28.62742942639115,41.016002581074375
MediaMarkt Beylikdüzü,,mall,,28.670422777022747,41.007395871934186
İstanbul Outlet Park,,mall,,28.63186324935412,41.01824249225118
Spotçular Çarşısı,,mall,,28.619109193892783,41.02635909698666
Paradise AVM,,mall,,28.625324675220263,41.00403360868683
Uyum Çarşı,,mall,,28.626466575224534,41.005301511395004
Torium Avm,,mall,,28.688584895626068,41.004062018021955
Akbatı AVYM,,mall,,28.667729106637033,41.056447253290834
Grandhaus,,mall,,29.13141091026564,40.92580856808946
Fırat Pasajı,,mall,,29.02438744218143,40.99038804736765
Ataköy A Plus AVM,,mall,,28.850395605495752,40.97844433969617
Kozzy Alışveriş Merkezi,,mall,,29.091827656103607,40.96932521889754
Historia Alışveriş ve Yaşam Merkezi,,mall,,28.945291564669,41.01441772737582
Airport AVM,,mall,,28.83073304836973,40.99146093458078
Prestige Mall AVM,,mall,,28.690993832781146,41.06772161681266
Marmara Park,,mall,,28.659885596966365,41.00973548723992
City Center Outlet AVM,,mall,,28.68726207920586,41.019826376826494
Eskidji Bit Pazarı Haramidere,,mall,,28.674163940714532,41.009691523544134
İnciler Pasajı,,mall,,28.654619561445607,41.01206817916302
Innovia 2 Çarşı,,mall,,28.655808286473608,41.019918616575694
Kadıköy Çarşısı,,mall,,29.023388409970032,40.99015042764195
,,mall,,29.023266945774147,40.989740901141055
Eskule AVM,,mall,,28.680825202847032,41.034436154345606
Emintaş İş Merkezi,,mall,,29.025523311749986,40.99216295552145
Çetinkaya,,mall,,29.031733053747338,40.989375516207126
Buyaka AVM,,mall,,29.127512917241077,41.026400357305185
Kent Çarşı,,mall,,29.104325996665654,40.99723546638594
Mozaik Çarşı,,mall,,29.135390816201667,40.98989889093054
World Atlantis AVM,,mall,,29.310532771756844,40.92822259351921
212 Outlet,,mall,,28.81030197675914,41.04785347847478
LOCA İstanbul,,mall,,28.686372236252787,41.07044870764531
Metro Grossmarket Merter,,mall,,28.87947932101037,41.01515134574257
Vialand Alışveriş Merkezi,,mall,,28.923073816161306,41.07437043543605
Ihlamur AVM,,mall,,28.790391149999998,41.040368400000006
City's Nişantaşı,,mall,,28.9927874581649,41.051063971776834
ArmoniPark Alışveriş Merkezi,,mall,,28.797292470717736,41.006874670149664
,,mall,,29.106865843807213,40.995534423659976
Bulvar 216 AVM,,mall,,29.110592149225027,40.99436079460913
ArenaPark Alışveriş Ve Yaşam Merkezi,,mall,,28.791007051410023,41.05400629333884
Oruç Market,,mall,,29.14140955047836,40.93909981687647
MİSSTANBUL AVM,,mall,,28.80567861732434,41.09302954387884
Olivium Outlet Center,,mall,,28.90979007438502,40.99538024883182
Starcity Outlet Center,,mall,,28.81603162294216,41.01132974322766
Forum İstanbul Alışveriş ve Yaşam Merkezi,,mall,,28.897535044645302,41.0466520539898
Mayadrom,,mall,,29.021967018635628,41.08647748551951
Maltepe Park,,mall,,29.163925979132813,40.9190707326943
Mevlana Bazaar,,mall,,28.979781618612037,41.00268826037307
Ender Avm,,mall,,28.9499529,41.0090683
MOPAŞ,,mall,,29.14310423051986,40.94008976126999
Yolaç plaza,,mall,,29.039622728937502,40.9834929633246
Aymerkez,,mall,,28.543606807258787,41.014037805096905
Aqua Florya Alışveriş Merkezi,,mall,,28.797819042025917,40.9655111342469
Atrium AVM,,mall,,28.845845617803793,40.98876208526054
Sancak Park AVM,,mall,,29.211034754178737,41.01045418861358
Varışlı Plaza,,mall,,29.089257469732114,41.09368518880034
Venezia Mega Outlet,,mall,yes,28.877670734546594,41.08034822154311
,,mall,,29.26103878336252,40.96925839682678
,,mall,,29.115098703708405,41.03368730759238
Axis İstanbul,,mall,,28.92078170246407,41.03532065526134
Atakent City,,mall,,28.7860373247608,41.05586860354218
Hukukçular Sitesi Çarşısı,,mall,,29.046549791763226,41.005557005621014
,,mall,,28.784370808981542,41.050373925134515
Flyinn Alışveriş ve Yaşam Merkezi,,mall,,28.80434217418637,40.972983709253754
Pendorya AVM,,mall,,29.27513326062761,40.866143471772055
İMÇ Çarşısı,,mall,,28.957658272024076,41.01730718109701
Pelican Mall,,mall,,28.71498312618002,40.99110122693714
,,mall,,28.781190500000005,41.056809099999995
fuaye,,mall,,29.163768803306013,40.94959480308227
narcity avm,,mall,,29.16792746678083,40.95484001678484
UNIQ Istanbul,,mall,,29.007804142419303,41.107902687874436
Bahçeşehir KC D Çarşısı,,mall,,28.682614859150174,41.06290730498535
Bahçeşehir KC E Çarşısı,,mall,,28.683502738691605,41.06362080471588
Bahçeşehir KC G Çarşısı,,mall,,28.68593711220792,41.062785823467685
MNG Blue Boutique Market,,mall,,28.79161172558792,41.02775441311457
Güneşli Park,,mall,,28.82448897038876,41.03220519040256
Çamsan Park AVM,,mall,,29.200627885306584,41.007421696014205
,,mall,,29.013484485871682,41.07591207378961
TİM-1 İş Merkezi,,mall,,28.91537636339912,41.02236473317224
Home City Mobilya ve Dekorasyon Alışveriş Merkezi,,mall,,29.324782807015982,40.887284918569094
Deposite Outlet AVM,,mall,,28.80914014548334,41.071214553044996
Vadistanbul Alışveriş Merkezi,,mall,,28.987363648580786,41.107530253487305
Avlu 34 AVM,,mall,,28.735022595638345,41.183256596562856
Hilltown AVM,,mall,,29.121879899027274,40.95261568948033
Esenkent Sunflower Çarşısı,,mall,,28.674980714832017,41.060011018876565
Biz Cevahir Haliç AVM,,mall,,28.945153719148557,41.07581056688259
Esenler Modern ve Kapalı Pazar Yeri,,mall,,28.886668365758005,41.03698103169082
Hak İş Hanı ve Pasajı,,mall,,29.028979628978533,40.98869039337188
Opera Onur Çarşısı,,mall,,29.029188279208743,40.98879796031837
Merter Platform AVM Residance,,mall,,28.894424058981965,41.008294582427716
,,mall,,29.166769021175398,40.919333277024535
Axis AVM,,mall,,28.982102568490518,41.0863607943868
Olimpa AVM,,mall,,28.78860015776643,41.109411435862064
Andromeda AVM,,mall,,29.10621230276001,40.99135317784175
Merkez Kayaşehir Alışveriş Merkezi,,mall,,28.75747830547185,41.107997160609955
Terasium AVM,,mall,,28.802890849999997,41.108636450000006
Parkway,,mall,,28.679546023951055,41.06249975664835
Esenkent Moon Flower,,mall,,28.67621068654422,41.061060434410734
,,mall,,28.986729025343475,41.105401787003956
,,mall,,28.986653892465696,41.10484734308583
Eyüp Park Residence AVM,,mall,,28.927306044307528,41.080261294435225
,,mall,,28.767687279653217,41.113816763230545
