name,amenity,leisure,longitude,latitude
Süleymaniye Camii,place_of_worship,,28.963872178626055,41.016196987534684
Fatih Camii,place_of_worship,,28.949808958154918,41.01970868142051
Uhud Camii,place_of_worship,,28.896006060961106,41.01500832654806
Nişancı Mehmetpaşa Camii,place_of_worship,,28.94487048419484,41.02418209910207
Sokullu Şehit Mehmed Paşa Camii,place_of_worship,,28.97205785597488,41.004818139246545
Mehmet Akif Camii,place_of_worship,,28.79126941996043,41.03377822579979
Konutbirlik Camii,place_of_worship,,28.765338970220085,41.03474906322578
Kocatepe Ulu Cami,place_of_worship,,28.894314502029097,41.05724171592342
Küçükköy Merkez Camii,place_of_worship,,28.90256215928288,41.07409055020817
,place_of_worship,,28.675671630484228,40.98979429224066
İmam-ı Azam Camii,place_of_worship,,28.803938421546654,41.109151075603
Zihni Bağdatlıoğlu Camii,place_of_worship,,29.191541009989805,40.91758847800891
Hasan Tahsin Uğur Camii,place_of_worship,,29.182100338900387,40.90407116468716
Yeşil Camii,place_of_worship,,28.71997557607323,41.190635234469596
Sinan Paşa Camisi,place_of_worship,,29.006182693498836,41.042340554094366
Mihrimah Sultan Camii,place_of_worship,,28.935756719245212,41.02928718857568
Hz. Hüseyin Camii,place_of_worship,,28.759699064771276,41.10818278926194
Kara Ahmet Paşa Cami,place_of_worship,,28.929159423789148,41.021215202370435
Yeni Valide Camii,place_of_worship,,29.01507063622628,41.02475634351418
Yavuz Sultan Selim Cami,place_of_worship,,28.95133416099208,41.02657399257113
Laleli Camii,place_of_worship,,28.956583669562733,41.01006058815626
Ataköy 5. Kısım Ömer Duruk Cami,place_of_worship,,28.858992095172656,40.97936340482544
,place_of_worship,,28.80317692776797,40.970114200549574
Büyük Çamlıca Camii,place_of_worship,,29.070365647615155,41.03436279676054
Yeni Camii,place_of_worship,,28.97209992032235,41.016926029108575
Kariye Camii,place_of_worship,,28.939018211203994,41.03120516025249
Damat İbrahim Paşa Camii,place_of_worship,,28.958265075003048,41.01310007307188
Şehzadebaşı Camii,place_of_worship,,28.957105632639344,41.01387337523584
,place_of_worship,,28.618358217848325,41.15045466925927
,place_of_worship,,28.650366801628195,41.09187243632626
,place_of_worship,,29.31874740141018,40.864757767307744
,place_of_worship,,28.619445457840754,40.9749340744094
Yedpa Camiİ,place_of_worship,,29.162633864088466,40.98496659049793
İstanbul Kültürler Arası Dayanışma Eğitim ve Araştırma Vakfı,place_of_worship,,28.77524037809777,41.12076964204805
Boz Ahmet Ağaoğulları Camii,place_of_worship,,29.073353551702827,41.05738695620767
Abdulkadir Camii,place_of_worship,,28.632344885653424,40.97183728321004
Başakşehir Merkez Camii,place_of_worship,,28.77297531997229,41.120445138306344
Beyazıt Camii,place_of_worship,,28.965299291249234,41.010240804668996
Fatih Sultan Mehmet Camii,place_of_worship,,28.64270717803402,41.0095085593961
Kocatepe Camii,place_of_worship,,28.89675113234735,41.05207593515795
Mimar Sinan Camii,place_of_worship,,29.112210540116003,40.99575669122001
Atik Valide Camii,place_of_worship,,29.02365643311286,41.01890729573043
,place_of_worship,,29.16039141501115,41.06322156494263
Sultanahmet Camii,place_of_worship,,28.97673245284225,41.00535163449369
Koca Sinan Paşa Külliyesi,place_of_worship,,28.969118167889814,41.00888026103417
Nuruosmaniye Camisi,place_of_worship,,28.970390837195627,41.01032885558101
Sokullu Mehmet Paşa Medresesi,place_of_worship,,28.934443467187812,41.046902306644796
Çatmalı Mescit,place_of_worship,,28.970732001002403,41.03199464012772
Samani Virani Sani Camii,place_of_worship,,28.967725405293272,41.01389593133399
Abdurrahman Külünk Camii,place_of_worship,,29.083801097202013,41.026414222453596
Evliya Çelebi Mahallesi Merkez Camii,place_of_worship,,29.306353650000002,40.8405454
,place_of_worship,,29.350537257607357,40.88057321347479
Mehmet Ağa Camii,place_of_worship,,28.945440349999995,41.02688405
Ağalar Camii,place_of_worship,,28.984105748172365,41.013092154585415
Halkalı İbadullah Camii,place_of_worship,,28.797180218872022,41.037701355285684
,place_of_worship,,28.856006755798845,41.11182266107155
Sultançiftliği Merkez Cami,place_of_worship,,28.862892899035707,41.104240311862384
İSTOÇ Cami,place_of_worship,,28.827091503321864,41.06472488225519
İmam Mustafa Efendi Cami,place_of_worship,,28.834815228644704,41.0182192625405
,place_of_worship,,28.828560846710598,41.019347041815514
,place_of_worship,,28.991578496256338,41.071706944884674
Bahriye Mektebi Camii,place_of_worship,,29.1015359,40.875771050000004
Tavaşı-Süleymanağa Camii,place_of_worship,,28.963490460721275,41.00370218997714
Şeyh Raşid Camii,place_of_worship,,28.93073698665766,41.01425012028775
İbrahim Çavuş Cami,place_of_worship,,28.929411199999997,41.013101750000004
Geylani Tekke Cami,place_of_worship,,28.93093188992003,41.015648630368624
Mustafa Çavuş Mescidi,place_of_worship,,28.928414970180782,41.01737154647017
Sultan Mustafa İskele Camii,place_of_worship,,29.023818245608467,40.990826561687676
Osman Ağa Cami,place_of_worship,,29.026123156005852,40.99083906626663
Kuruçeşme Selami Ali Camii,place_of_worship,,29.03248942935725,41.02694975538253
Midillili Ali Reis Camii,place_of_worship,,29.088699452667722,41.1742694163679
Helvacıbaşı İskenderağa Camii,place_of_worship,,28.97272959992404,41.00485618334101
,place_of_worship,,29.159591400000004,41.1284055
Zeynep Sultan Camii,place_of_worship,,28.97840095,41.010076649999995
Fetihtepe Merkez Cami,place_of_worship,,28.95809185,41.05307075
Mücahitler Cami,place_of_worship,,28.957377283585114,41.046997614391735
