name,leisure,longitude,latitude
Yıldız Parkı,park,29.015937619578544,41.04839225875064
,park,29.26001495809251,40.95680032722644
,park,29.05747944784086,41.01933022855942
,park,29.309095533653103,40.925733194304726
,park,29.30937899337579,40.925625414553814
,park,29.309383487929093,40.92540598147378
Büyük Çamlıca,park,29.068054922407008,41.02657302939066
Florya Sosyal Tesisleri,park,28.807898342559337,40.96195320165422
,park,29.185070183658038,40.9093780145232
Özkan Parkı,park,29.238756234054048,40.903943963683
Nene Hatun Parkı,park,28.887241689775173,41.100815650848226
,park,28.769991290539537,41.02074754140842
Bağcılar Bölge Parkı,park,28.869057353743163,41.03337471508345
,park,28.989383916555497,41.039163465234644
Küçüksu Kasrı Mesire Alanı,park,29.065121722713716,41.0766336141408
Beylikdüze Osmanlı Bahçesi Parkı,park,28.64488843746463,40.99619334729853
Çamlık,park,29.1522345782178,40.97212267190397
Başakşehir 2.Etap Koru Parkı,park,28.78512507580328,41.10512570464063
Avcılar Sahil Parkı-2,park,28.743279200358277,40.97385245848844
Cemal Kaytaz Parkı,park,28.74231449828986,40.97438065426386
Beykoz Spor Ormanı,park,29.115964621821902,41.0629506307377
Moda Sahil Parkı,park,29.021215581542045,40.980542979045076
Sütlüce-3 Parkı,park,28.948321935202777,41.05818010331204
,park,29.30033080131047,40.846009814906864
Erdoğan Sezer Parkı,park,28.882709098252896,41.09775405168188
Şehit Asteğmen Mustafa Burcu Parkı,park,28.718246802615976,40.97180862565579
Mimoza Parkı,park,29.07664415655417,41.01463696298921
Şehitler Parkı,park,28.66970501527654,41.017279404096406
Mimar Sinan Parkı,park,28.64854349844732,41.05917861995727
,park,28.821757371213717,40.95973679438399
Taksim Gezi Parkı,park,28.986863767054462,41.03864053517082
Alay Meydanı,park,28.98189112813251,41.0101762700777
Ihlamur Kasrı,park,29.00136052897747,41.05126572787158
Dünya Barış Parkı,park,29.00302959262486,41.05023900457425
Abbasağa Parkı,park,29.006195694772828,41.046653280148526
Cihangir Parkı,park,28.985833514804884,41.0318124674313
Fındıklı Parkı,park,28.9900397605888,41.031451286673054
İnönü Parkı,park,28.996907327103397,41.04190294124598
Dolmabahçe Sarayı,park,28.99981796441002,41.039159042552924
,park,28.9689795181271,41.00468551138053
,park,28.978186807621295,41.00723757270837
,park,28.975607416172114,41.00765468353855
,park,28.95645986540323,41.01453454620356
Fatih Anıt Parkı,park,28.954360816830746,41.01571900799542
Çinili Parkı,park,29.029639799999998,41.02316213333334
Gülhane Parkı,park,28.98174280659756,41.01329350428183
,park,28.948085524620772,41.01088750882314
Doğancılar Parkı,park,29.01328370101811,41.018876631399586
Selimiye Parkı,park,29.019475815434745,41.01071116686925
Küçükyalı-İdealtepe Kara ve Sahil Parkı,park,29.11030001937974,40.93795065512462
Maçka Demokrasi Parkı,park,28.99365912224828,41.04406890902773
Onur Parkı,park,29.299614774483572,40.838057625742366
,park,29.015868032494254,41.01763988029961
,park,29.17656733907747,40.88954773634671
,park,29.21084301780888,40.880846056997115
Cemil Meriç Parkı,park,28.943904221316153,41.0401667002574
Bahçelievler Parkı,park,29.23877779355947,40.88233716813997
Gültekin Parkı,park,29.02502371110486,41.051737805350044
Ortabayır Parkı,park,29.02500291312746,41.05457498264155
Cemil Topuzlu Parkı,park,29.034533773452377,41.05413943829965
Bebek Parkı,park,29.04380761800299,41.07593545200434
Ortaköy Sahil Parkı,park,29.02708584046569,41.04747499112
Havacılar Parkı,park,29.028014979096614,41.0567979090002
Trabzon Parkı,park,29.13813797974707,41.02832832269962
Ambarlıdere Parkı,park,29.029737141664928,41.06365007379085
,park,29.031962018247228,41.09577344128727
,park,28.610939487321364,41.07840795866504
Şeker Parkı,park,29.026974127224605,41.07120360377017
Ulus Parkı,park,29.03231649044144,41.06385901334756
Yahya Kemal Parkı,park,29.008788888320918,41.048513111305745
Aydınlık Parkı,park,29.027894365774973,41.05478572219153
Kalamış Parkı,park,29.038148973930674,40.97987424019573
Göztepe 60. Yıl Parkı,park,29.057891913877018,40.96982308869383
Bolluca Millet Bahçesi,park,28.764726654612275,41.19649106418144
,park,29.01498395924541,41.0248183682614
Paşalimanı Parkı,park,29.022861055295103,41.03237520541726
Hacıbaba Parkı,park,29.017030958773514,41.02898954319795
,park,29.006616533189302,41.0703004424443
Soğanlı Bitkiler Parkı,park,28.91971370104379,40.98905795496333
Kuruçeşme Parkı,park,29.037661878157948,41.060799671654415
