name,amenity,shop,longitude,latitude
Bilfen Çamlıca İlkokulu,school,,29.058561409539717,41.01638855771198
Terakki Vakfı Okulları Tepeören Yerleşkesi,school,,29.393349915954527,40.91906600185462
Atatürk Ortaokulu,school,,29.024961708180296,41.013425230864755
Doğa Koleji Yakacık Kampüsü,school,,29.226713341150887,40.91203940242149
Kadıkoy Kız Teknik ve Meslek Lisesi,school,,29.024412156079837,40.983629282797146
Taylan Doğuer Kandilli İlkokulu,school,,29.057896995510962,41.07407454624219
Kandilli Kız Anadolu Lisesi,school,,29.057297986248347,41.07145010785229
Büyükçekmece Anadolu Lisesi,school,,28.584569080044552,41.019567783880156
Büyükçekmece Atatürk Anadolu Lisesi,school,,28.585113018497857,41.01990306296163
Yenidoğu Okulları Sancaktepe Kampüsü,school,,29.243574389226122,40.97465489444656
Hasdal Ortaokulu,school,,28.972272155166294,41.09519644017948
Gazi İmam Hatip Ortaokulu,school,,28.93402949743208,41.012879523529584
İstanbul Atatürk Fen Lisesi,school,,29.05230130588748,40.98876250038161
Galatasaray Lisesi,school,,28.978737972673276,41.03281693133793
MEF Okulları,school,,29.02370079745018,41.06349847418082
,school,,29.038278457351467,41.093836009387715
Büyük Esma Sultan İlköğretim Okulu,school,,29.00360568903605,41.04597708795337
Murat Beyaz İlköğretim Okulu,school,,29.02769854542388,41.071757338178564
Gaziosmanpaşa İlköğretim Okulu,school,,29.020929015240057,41.04891416556219
Kabataş Erkek Lisesi,school,,29.02218524642465,41.046528388771826
İstanbul Teknik Üniversitesi Mesleki ve Teknik Anadolu Lisesi,school,,29.018389801172425,41.0449743406151
Beşiktaş Anadolu Lisesi,school,,29.01309068411933,41.04288115424773
Sakıp Sabancı Anadolu Lisesi,school,,29.007944891563127,41.05059426155615
III. Selim İlköğretim ve İmam Hatip,school,,29.013539360575415,41.014013729752996
İstanbul Atatürk Anadolu Lisesi,school,,28.983424875995006,41.034635607781034
Ali Suavi İlköğretim Okulu,school,,28.92722499097865,41.016351695442665
Vefa Lisesi,school,,28.927265831909708,41.01701037480998
Çapa Fen Lisesi,school,,28.936364896967763,41.0148039059272
Prof. Dr. Ahat Andican İlköğretim Okulu,school,,28.797763936990908,41.1022368256435
İSOV Dinçkök Anadolu Meslek Lisesi,school,,29.029015902417992,41.08658670646202
Kadırga İlköğretim Okulu,school,,28.968423978692424,41.00401991300333
,school,,28.97129752017389,41.03061273228638
Hüseyin Bürge Anadolu Lisesi,school,,28.902996282665566,41.0405555467348
Saint Benoit Fransız Lisesi,school,,28.976384471043993,41.02525835431711
Küçükyalı Rezan Has Anadolu Lisesi,school,,29.115930033002805,40.953433284859784
Kadir Has Anadolu Lisesi,school,,29.116800809628433,40.95300139069271
Bağlarbaşı İlkokulu,school,,29.14288823523034,40.92809385857147
