name,amenity,shop,longitude,latitude
MMM Migros,,supermarket,29.1246297599018,40.92581058139495
Migros,,supermarket,29.065097171489423,40.963557073993925
Hakmar,,supermarket,29.142454549999993,40.92899995
Uyum Market,,supermarket,28.67692408000093,41.05759476870604
Uyum Market,,supermarket,29.072416810760984,41.05814351670579
,,supermarket,29.118427355786814,40.97820764189585
Migros,,supermarket,29.040349913197844,40.97655701857842
Macrocenter,,supermarket,29.04734114241337,40.97370119079871
CarrefourSA,,supermarket,29.15224496409675,40.991510839145555
Migros,,supermarket,29.12649399689574,40.99199612412727
CarrefourSA,,supermarket,29.049241921038924,41.118150802599686
Migros,,supermarket,29.049722096782467,41.11627296695541
Migros,,supermarket,29.30759815856734,40.92831943845522
Emin Hipermarket,,supermarket,29.053478777295165,41.034316864844214
,,supermarket,29.182846897251935,40.8936011807691
Showmar,,supermarket,29.094565874543147,41.03445680406182
Migros,,supermarket,29.021477599533924,41.20837716940204
Migros,,supermarket,28.894026991773522,41.00607153440483
Migros,,supermarket,29.033084906894963,41.218759602415346
Sarıyer Market,,supermarket,29.031727324875828,41.2152737867379
MMM Migros,,supermarket,29.07905037217314,41.08092237797472
Çelik Süpermarket,,supermarket,29.1175452,40.968699650000005
Migros,,supermarket,29.04150342235289,41.010353972334
Çağrı Market,,supermarket,29.136831438047817,41.00290920670606
Anpa Gross Kartal,,supermarket,29.21125077252542,40.912691184532626
CarrefourSA,,supermarket,29.024766242336657,41.05881171340264
UCZ Market,,supermarket,29.440239549999998,41.19331329999999
Oruç Market,,supermarket,29.14140955047836,40.93909981687647
HAPPY  CENTER,,supermarket,29.179291511211293,41.03259128647421
File,,supermarket,29.136874849999998,40.92162955
paska süper market,,supermarket,29.129627900000003,40.93642415000001
MOPAŞ,,supermarket,29.136208800000002,40.93339965
Migros,,supermarket,28.811379295233344,41.06813053036245
,,supermarket,29.142289219412405,40.97796438533145
özer hipermarket,,supermarket,29.087913484441632,41.09309669481108
Namlı Market,,supermarket,29.09721423444434,41.09514377912782
Migros,,supermarket,28.881003204219052,40.98024205783513
mopaş,,supermarket,29.08686333906041,41.09648665381819
MM Migros,,supermarket,29.176071808092036,41.02879126281571
Migros,,supermarket,29.02357268276539,41.05571718328637
CarrefourSA,,supermarket,29.0267520177765,40.99268587793543
Happy Center,,supermarket,29.134159871869716,40.929936552888385
,,supermarket,29.14237755,40.981076900000005
,,supermarket,29.142279499999997,40.980756400000004
Migros,,supermarket,29.240631661358556,40.88191728544648
Migros,,supermarket,29.165043448178043,40.898367626555384
MMM Migros,,supermarket,29.17643109134823,41.042034293338965
Migros,,supermarket,29.193037744760765,41.00711327815221
Şok,,supermarket,29.135706814954176,40.917327342647255
