name,amenity,longitude,latitude
TIM-Turker Inanoglu Gosteri Merkezi,theatre,29.02650553074905,41.12642910438313
Cemal Reşit Rey Konser Salonu,theatre,28.990154664015762,41.04816615415732
Harbiye Muhsin Ertuğrul Tiyatrosu,theatre,28.98865152064479,41.0464522777248
Haldun Taner Sahnesi,theatre,29.023443017081274,40.991895314317404
Devlet Tiyatroları Tekel Sahnesi,theatre,29.0215314,41.03134665000001
Cennet Kültür Merkezi,theatre,28.783316976011896,40.992105976974045
Fatih Belediyesi,theatre,28.975565300553164,41.00750016388831
,theatre,28.945921033067943,41.063873771916285
Beykent Üniversitesi Sanat Merkezi,theatre,28.62672375605,41.018142291139235
,theatre,28.915075023135124,41.10692025665238
Amfitiyatro,theatre,29.054556161224912,40.97970537796886
Anfitiyatro,theatre,29.04223366172442,41.20415658763232
Odeon,theatre,29.074459761535774,41.2055980635168
Yahya Kemal Beyatlı Gösteri Merkezi,theatre,28.80295320202648,41.030534098454574
Üsküdar Musahipzade Celal Sahnesi,theatre,29.012812944263725,41.01967358269357
Reşat Nuri Sahnesi,theatre,28.95623628470453,41.015847635201624
Ahmet Mithat Efendi Kültür Merkezi,theatre,29.078075392490845,41.080932372461426
Sabancı Ünivertsitesi Amfitiyatrosu,theatre,29.379250244461776,40.89312165279888
Film Platosu,theatre,29.191802437377547,40.96180130429326
Amfi Tiyatro Alanı,theatre,28.78647754360058,41.03397719227537
Süreyya Operası,theatre,29.029003708827567,40.98800612176567
Film Platosu B,theatre,29.1903905,40.9608873
,theatre,29.060519499999998,40.982949500000004
Esenkent Rıfat Ilgaz Anfi Tiyatro,theatre,28.675728026999113,41.060594247127064
Kartal Belediyesi Hasan Ali Yücel Kültür Merkezi,theatre,29.189530650315675,40.889073805077174
Şehir Tiyatroları Sadabad Sahnesi,theatre,28.971684503495283,41.07983842189541
,theatre,28.636179941744317,41.006656558872926
,theatre,28.886558499077598,41.062892209201145
Erguvan Barış Parkı Amfitiyatrosu,theatre,29.11970432908953,40.98749303690738
,theatre,29.123866365765664,40.98491665508801
,theatre,29.072284690585295,40.958531404871756
Sevda Şener Sahnesi - Gazometre,theatre,29.043829720806443,40.99777571001554
Sultangazi Kent Ormanı Amfi Alanı,theatre,28.914402389086533,41.11208165759959
,theatre,28.875674749678865,41.10262339333835
,theatre,29.21405784670857,40.93056215592834
Mimar Sinan Kent Ormanı Amfitiyatro Alanı,theatre,28.900323045203958,41.11888301327843
,theatre,28.875705384205293,41.102631079693424
Atatürk Kültür Merkezi,theatre,28.988263538949553,41.03657801362214
Harbiye Cemil Topuzlu Açık Hava Tiyatrosu,theatre,28.99004594469464,41.046141764467365
,theatre,29.02052432021653,41.127385289883755
Kültür Park Amfi,theatre,28.574558339523122,41.022917035382775
İBB Erdem Beyazıt Kültür Merkezi,theatre,28.876866135978222,41.028595028381204
Vialand Açık Hava Sahnesi,theatre,28.92320231638872,41.06954473902852
Paraf Kuruçeşme Açıkhava,theatre,29.033722803935103,41.051901998210774
,theatre,29.131363956941417,40.9904325078502
,theatre,29.10999452488642,40.9787613695
