name,amenity,shop,leisure,longitude,latitude,n_cafe_200m,n_supermarket_200m,n_convenience_200m,n_parking_200m,has_cinema_300m,avm_score,avm_label
Hak İş Hanı ve Pasajı,,mall,,29.028979628978533,40.98869039337188,41,3,2,3,1,115,very_high
Opera Onur Çarşısı,,mall,,29.029188279208743,40.98879796031837,38,2,1,3,1,103,very_high
Fırat Pasajı,,mall,,29.02438744218143,40.99038804736765,36,2,3,0,1,94,very_high
Kadıköy Çarşısı,,mall,,29.023388409970032,40.99015042764195,34,2,4,0,1,92,very_high
Hayyam Çarşısı,,mall,,28.9762417,41.0142881,25,4,5,1,1,87,very_high
Nazifbey Hanı,,mall,,28.9752022,41.015242,28,3,4,1,1,87,very_high
Narmanlı Han,,mall,,28.97472730955808,41.02925486202577,34,3,3,0,0,86,very_high
Küçük çarşı,,mall,,29.2669295,40.9662008,6,9,15,2,0,84,very_high
Ev center,,mall,,29.2688744,40.9666792,4,12,12,1,0,83,very_high
Ender Avm,,mall,,28.9499529,41.0090683,14,4,17,1,0,81,very_high
Md fulla,,mall,,29.2668008,40.9659496,5,9,14,2,0,80,very_high
ALIŞVERİŞ ELKTRONİK,,mall,,28.974956,41.0133301,17,6,3,1,1,75,very_high
Ender,,mall,,28.9500082,41.0093125,13,4,14,1,0,73,very_high
Bolis Pirlanta,,mall,,28.9738089,41.009067,20,2,4,2,1,70,very_high
Yön AVM,,mall,,29.2334008,40.8780435,11,3,5,8,0,68,very_high
Ors Turistik is merkezi,,mall,,28.9781982,41.0337869,20,3,3,0,1,66,very_high
Halep Pasajı,,mall,,28.9790916,41.0345008,15,5,2,0,1,62,very_high
Burda,,mall,,28.902977,41.0037237,6,9,7,0,0,62,very_high
Bayza,,mall,,29.2535877,40.9675045,5,7,11,0,0,60,very_high
Terkos Pasajı,,mall,,28.9755901,41.031056,22,1,0,1,1,59,very_high
herşy beş,,mall,,29.2537444,40.9681312,5,7,10,0,0,58,very_high
Bozkurt,,mall,,29.25335,40.9674089,4,7,11,0,0,58,very_high
Büyük Beşiktaş Çarşısı,,mall,,29.005254832530994,41.0427346711966,17,1,3,1,1,55,very_high
Atlas Pasajı,,mall,,28.9792135,41.0341134,12,4,2,0,1,52,very_high
Confident,,mall,,29.2706635,40.965913,5,5,10,0,0,50,very_high
İstanbul Bazaar,,mall,,28.9538519,41.0089024,7,6,6,0,0,50,very_high
Evkur,,mall,,29.1323279,40.9239807,7,8,0,1,0,49,very_high
İstanbul A.V.M.,,mall,,29.1322721,40.9240097,7,8,0,1,0,49,very_high
