name,amenity,longitude,latitude
Barmy,bar,29.02656104807653,40.98677381558903
Murphy's Dance Bar,bar,29.0381246056941,40.97595825714166
Solera Winery,bar,28.978200686090247,41.03202525605556
TEB Saklıköy Pool Bar,bar,29.296128549496125,41.13457911251712
Beach Bar,bar,29.00825022119815,41.24572756219306
The United Pub,bar,29.00446060055624,41.04398873709871
Roxy Bar,bar,28.9845243,41.0336163
Sensus Wine Boutique,bar,28.973884,41.025676
Beer House,bar,28.9783535,41.0347427
Club Zarife,bar,28.9784114,41.0346224
Just Bar,bar,28.9808966,41.0059332
Dedeman Roof Bar,bar,29.0101244,41.0640446
Orient Bar,bar,28.9736493,41.031135
Bay Biraci,bar,29.0253201,41.0481394
Caravan Rock bar,bar,28.9774719,41.0343461
Old English Pub,bar,29.0762935,40.9623181
Beer Point,bar,29.0091697,41.0413878
Arpa Pub,bar,28.9743715,41.0288456
Harp Irish Bar,bar,29.0219739,40.989139
Mezzo Bar,bar,28.9767306,41.0338784
mansor bar,bar,28.645744,41.018131
London Pub,bar,29.0280063,40.9891202
Babbo Pizza & Bar,bar,29.0534048,40.9745999
Tarihi Küçük Paris Meyhanesi,bar,28.9318829,41.0000487
Laguna disco bar,bar,28.9489191,41.0076471
Rainbow Club,bar,28.9483044,41.0082077
Modül bar,bar,28.9526471,41.0082008
Just Bar,bar,28.9806797,41.0059858
Beerfest,bar,29.0948821,40.9596686
Ritim Galata Pub,bar,28.9741164,41.0253502
Mimoza Türkü Bar,bar,29.1672885,40.8973321
Biber Bar,bar,29.100261,40.9983689
Ezo Türkü Bar,bar,29.1907472,40.8895353
Asmalıpera Pub,bar,28.9748528,41.0298266
Nardis Jazz Bar,bar,28.9738984,41.0253051
Beer Hall,bar,29.0010414,41.0425282
Snog Rooftop Bar,bar,28.9744533,41.0265013
Legacy Ottoman Roof Bar,bar,28.9742345,41.015719
Snog roof top bar,bar,28.9746955,41.026546
Summit Bar & Terrace,bar,29.0097283,41.0472936
Zeplin Pub,bar,29.0535257,40.9745605
Kum Saati Jazz Blues Club,bar,28.9734038,41.0295745
Beer House,bar,28.9785434,41.0343281
Semtin Bar,bar,28.8713347,40.9898586
Bara la Afrika,bar,28.9740562,41.0305428
Muaf Bar,bar,28.9827647,41.0366236
Kumbara,bar,29.3051242,40.8150286
Fettan Meze&Bar,bar,29.0696691,41.1209701
Beer Plus,bar,29.004306,41.0439389
Fil Bira Bahçesi,bar,29.0438726,41.0028491
Beer House,bar,29.0043729,41.0438227
Aksi Bar,bar,29.0400973,41.0007061
Beer More,bar,28.6376511,41.0033418
Patron Club,bar,28.6373883,41.0034066
Le Bar,bar,29.005217,41.0404245
Lobby Lounge,bar,29.005126,41.0405037
Kozzbeer,bar,29.096333,40.9759829
Skull and Bones Cocktail Bar,bar,28.978783,41.0243975
Club Lupe,bar,28.9821356,41.0353394
Kuzen Beer,bar,29.0244444,40.9888932
Beer corner,bar,28.980064,41.034043
The Ottoman Sand Door Lounge,bar,28.9650574,41.0040598
Buselik Meyhane,bar,29.0255638,40.9805679
Publique Roof,bar,29.0265915,40.989683
Pinokyo Bar Terrace,bar,28.9825283,41.0346515
Dorock Heavy Metal Club,bar,28.9774348,41.0349494
Barabuy,bar,29.0237712,40.9807864
Allen Kitchen & Cocktail,bar,29.0872414,40.9574188
Cocktail,bar,29.0264353,40.986095
Barmy,bar,29.0266422,40.9867304
Mathilda's Coctail Bar & Kitchen,bar,29.0266923,40.9883677
Moretenders’ Cocktail Crib & Sushi,bar,28.9744923,41.029044
Walkers Bar,bar,29.0183097,41.0658946
Troyka Cocktail Bar,bar,29.0732107,40.9642616
Street pub,bar,28.9817064,41.0362023
Retro Bar,bar,28.9749451,41.0296951
Pera Temple Pub,bar,28.9743956,41.029486
Bremen Bar,bar,28.981388,41.0361544
Dublin Irish Pub,bar,28.9749836,41.0296722
Fevk Hookah Lounge,bar,28.9841949,41.0405242
Club IQ,bar,28.9810583,41.0347255
Coco Lounge,bar,28.9769569,41.0231895
Rabbit.cocktailbar,bar,28.9951257,41.0527101
Ex bar,bar,28.9801786,41.0339511
Beer Lounge Pub Şişli,bar,28.9872605,41.0414346
