name,amenity,longitude,latitude
Urban Cafe,bar,28.9785641,41.0336104
Kafe Pi,bar,28.9741903,41.0290101
SCHLEPP Cafe & Pub,bar,29.0306204,40.9909532
Bal Cafe Bar,bar,28.9582376,41.0264988
Balkon Cafe & Bar,bar,28.9739559,41.0297951
Kırıntı Cafe Bar,bar,29.0429827,41.075742
Limonluk Cafe - Dolmabahçe Sarayı/Palace,bar,29.0015656,41.0404467
Bakkal,bar,29.0258918,40.9861896
Kaytan (Kafe posht ures bosforit ),bar,29.028204,41.0487872
Zeytin Kafe Bar,bar,29.0249274,40.9882944
Hayal Kahvesi,bar,29.0706373,41.0040082
