name,amenity,longitude,latitude
Mürekkep,bar,28.972329485208856,41.03028556411528
Thales,bar,29.005713674549124,41.043691342961786
EpopE,bar,29.00564349410615,41.04362639538768
Ahtapot,bar,29.005018770241403,41.043744293295966
Black Corner,bar,29.005505356911552,41.04357190514456
Badehane,bar,28.9742171,41.0287835
360 Istanbul,bar,28.9767231,41.032744
Kino Garden,bar,28.974339,41.030045
Montreal,bar,28.97494,41.029754
Fil,bar,29.0277667,40.9872396
Arkaoda,bar,29.0265392,40.98659
Kadife,bar,29.0268261,40.9872032
Kasette,bar,28.975625,41.0313349
Kücük,bar,28.9738011,41.02987
Taps Bebek,bar,29.0507353,41.0800877
Unter,bar,28.9789344,41.0254323
gaspar,bar,28.9774073,41.0249705
Finn,bar,28.9775293,41.0248906
Lucca,bar,29.0432638,41.0773541
Kaset,bar,29.0059933,41.0441911
Akbaba,bar,28.9737984,41.0287828
Welldone,bar,28.9740564,41.028579
Otto,bar,28.974152,41.0291004
Parantez,bar,28.9742861,41.0293169
Ambiyans,bar,28.9740113,41.0287059
Pocoloco,bar,28.9740167,41.0288675
Ugly,bar,28.9742324,41.0292127
Karaoke MIDO,bar,29.0263053,41.0492307
İdealtepe Sahil,bar,29.1129443,40.9339496
сок и еда,bar,28.9736922,41.0146945
Yer Fıstığı,bar,29.0655236,40.9641933
Hully's House,bar,29.0982897,40.9515361
Kale,bar,29.0951556,40.9536008
Leyla teras,bar,28.9818581,41.0358671
Hayalperest,bar,29.0277507,40.9897943
Kırmızı Tazı,bar,28.976992,41.03505
gemi ⚓,bar,28.9938696,41.0358541
Özel Harman,bar,28.9772453,41.0346987
Nyx,bar,29.0266654,40.9867932
Toprak Türkü Evi,bar,28.982683,41.0346423
tayfun,bar,28.9492065,41.0719356
Tetja Rafet,bar,28.9436618,41.0744636
Fil Moda,bar,29.0255213,40.9867795
Indigo,bar,28.977223,41.0326877
Railway,bar,29.0270504,40.9875599
Flekk,bar,28.9783583,41.0318653
Mahle,bar,29.0279914,40.9890328
BOS Zamanlar,bar,28.9819436,41.0356481
Asmaaltı Beyoğlu,bar,28.9769266,41.0350128
Valide,bar,28.9731103,41.0161553
Gar casino,bar,28.953258,41.0052126
Muhit,bar,28.9812686,41.0258298
Hiç,bar,29.0265582,40.9875103
Clup Ship O hoy,bar,29.1673962,40.8967082
Gizia Brasserie,bar,29.0889151,40.9561878
Beyrut Performance,bar,29.1713798,40.893954
Korkmaz tekel,bar,29.2649125,40.9545825
Köşem Tekel ve kuruyemiş,bar,29.2736458,40.9647263
Sirena,bar,28.9726078,41.0195818
Haydar Rock,bar,28.9818647,41.0348206
sahika,bar,28.9776395,41.0348004
Lala,bar,28.974377,41.0294506
Geyik,bar,28.9838431,41.0303528
Efendi,bar,28.9956851,41.0514489
Freya Akaretler,bar,29.0025044,41.0426178
Tail Akaretler,bar,29.0026136,41.0424213
Al Gotür,bar,28.9728224,41.0294206
Snog roof,bar,28.9746149,41.0264003
Must,bar,28.9906103,41.0500935
Klein,bar,28.9860382,41.0456661
Shisha Devari,bar,28.9794332,41.0264944
Benzin,bar,29.0228236,40.9901246
Hera,bar,29.0266164,40.9868216
Buddha Sahne,bar,29.026609,40.9867011
Karga,bar,29.0265837,40.9866436
Lâl,bar,29.0267473,40.9866943
Lambo,bar,28.9775413,41.0347765
Bova,bar,28.9815768,41.0361098
Neva,bar,29.0239696,40.9892155
Wild Rose,bar,28.5900257,41.0177335
Kilit,bar,29.007137,41.0464027
Ağaç Ev,bar,29.0278,40.9902
Berlin line,bar,28.9796485,41.0251373
Ufuk Tekel,bar,28.8879692,41.078009
Triple,bar,29.0637452,41.1171273
J.R Dallas,bar,29.0564914,41.0896466
Chilai,bar,29.0449536,41.0784831
Bebek Lokal,bar,29.0449041,41.0784497
AYI,bar,29.0748248,40.9614156
Halet-i Ruhiye,bar,29.0436443,41.0675722
Level Arnavutköy,bar,29.0423565,41.0672113
Keçi,bar,29.0947134,40.9535068
Traingar,bar,29.0950789,40.9533866
Kabasakal,bar,29.0952493,40.9533071
Ayı,bar,28.6443952,41.0124958
Monkey Istanbul,bar,28.9720632,41.0283239
Pablo,bar,29.0262147,40.9896453
Limon,bar,29.0035214,41.0430971
Draft,bar,29.0255318,40.9868102
Leon Arena,bar,28.6375921,41.0033682
Egnoes,bar,29.0267262,40.9866398
Kutup Moda,bar,29.0244079,40.9809581
Deniz Yildizi,bar,29.0247848,40.9902888
Bristol,bar,29.0241199,40.9880341
Goy Goy,bar,29.0241545,40.9878512
V,bar,29.0269229,40.9901693
The Harp by Gold House,bar,29.0221058,40.9890402
11 Kadikoy,bar,29.0270575,40.9881206
Zurich,bar,29.0260257,40.9877377
Blablabla Istanbul,bar,28.8109365,41.0394458
Black House,bar,29.0215816,40.9801652
16Roof,bar,28.9974923,41.0403114
Passenger,bar,29.0260735,40.9870786
Mekan,bar,29.0293145,40.9951345
Gadi,bar,29.272977,40.8200738
Dekk,bar,28.9905292,41.0473196
Salpa,bar,29.0275604,40.9891044
Gaja Garden,bar,28.7936296,40.9815453
Berlin platz,bar,29.0261199,40.9896431
Sokak,bar,29.0258574,40.9859331
Groundy Kadıköy,bar,29.0277177,40.989731
Frog,bar,29.0271535,40.990336
Harlem,bar,29.0276382,40.99024
Muaf,bar,29.0270712,40.9903374
Şarlo,bar,29.0272775,40.9903359
Dopamine,bar,29.0257493,40.9877175
Yakin Bistro,bar,29.0274965,40.9888252
York,bar,29.025859,40.9862178
Blok,bar,28.981576,41.0575408
Pennylane,bar,29.067739,40.9674506
Çivi,bar,29.0269632,40.9876759
Nick Cave,bar,29.0281409,40.9887148
Kaserol Social,bar,29.0289272,40.995529
Küpeşte,bar,28.2404932,41.0736753
Amiral,bar,28.2411052,41.0739881
Kült,bar,29.0248798,40.9884148
Porch,bar,29.088168,40.9568824
Punch,bar,29.02647,40.9861531
Nox,bar,28.9795738,41.0252079
Kadıköy Sahne,bar,29.0277978,40.9903414
Aylak,bar,29.0257735,40.9894834
Mülksüzler,bar,29.0271117,40.9899167
Gerando,bar,29.0272084,40.9901682
Geyik,bar,29.0271045,40.9898691
Rebel,bar,29.0271964,40.9901018
Reset,bar,29.0236553,40.988204
Pera 77,bar,28.9739937,41.0311149
Liz Maslak,bar,29.0094321,41.1161327
Neyla Maslak,bar,29.0093828,41.1161773
Altın Saatler Harbiye,bar,28.9855867,41.0456908
Eat'stanbul,bar,28.9840911,41.0396952
Andrea Karaköy,bar,28.9788772,41.024635
Cheers,bar,28.9784106,41.0242893
Popstel liquor,bar,28.9787414,41.0316581
jasmin highheels,bar,28.9837479,41.033641
King,bar,28.7362971,41.2668499
