name,amenity,shop,longitude,latitude
Kule Market & Cafe,cafe,,28.682570966674422,41.07542678935924
Lokantasi,cafe,,29.131076472188983,40.874395688020144
Lokanta,cafe,,29.267770016730463,40.812422021652026
Bia Cafe Restaurant,cafe,,29.12977661695793,40.92438005177772
Gölet Cafe&Restoran,cafe,,28.53796577545292,40.99343481517305
Yelken Cafe & Restoran,cafe,,28.538268015887947,41.00156777799553
Tepe Cafe & Restaurant,cafe,,28.895715696708955,41.04929899983037
Ayaz Pide & Börek,cafe,,29.17978631312721,41.04063642032645
Munchies Cafe&Bar,cafe,,29.15168582128734,41.01381583368028
Revzen Cafe Restaurant,cafe,,29.308052753673696,40.92011022143596
Ambarlı Roma Dondurma,cafe,,28.71373817585309,40.97387080365152
Barış Cafe,cafe,,28.6504534,40.99478445
Leroz Cafe&Restaurant,cafe,,28.806088342129595,41.10186076639732
Moreno Cafe & Restaurant,cafe,,28.915749652374178,41.04669127465072
Saffron Life Cafe & Restaurant,cafe,,28.938121620954632,41.05499039879584
Barbaros Cafe,cafe,,29.0085416,41.0416203
Babel Café Restaurant,cafe,,28.9822058,41.0330729
Yeniköy Spor Kulübü Sahil Kafe Restoran,cafe,,29.0655624,41.1173184
Unicorn Kebap & Meze,cafe,,28.982399,41.0333243
Beltaş Cafe and Restaurant,cafe,,28.9806118,41.0140481
Jacks Cafe Bar,cafe,,29.1317486,40.8728043
Piano Restaurant Cafe,cafe,,29.0258856,41.0492902
Meşale Cafe & Restaurant,cafe,,28.6446172,41.0073269
Osmanlı Börek Pide,cafe,,28.6288516,41.0007884
Chops Cafe & Pub,cafe,,29.0009615,41.0672825
Beyza Sebzeli Doner,cafe,,28.9678759,41.0170407
Hira Lokantası,cafe,,28.9657581,41.004714
Kristal Et Lokantasi,cafe,,28.9705347,41.0266775
Le Cafe Restaurant,cafe,,28.5373599,41.0063794
Sürmene Pide,cafe,,29.1282369,40.93231
Meşi Pasta Cafe & Restaurant,cafe,,29.1431222,40.9407241
Desterhan Restoran,cafe,,28.7928752,40.97927
Baraka Cafe,cafe,,29.0352923,40.9674123
Şehzade Nargile Cafe Restaurant,cafe,,28.9339187,41.0058462
Durak Pub,cafe,,28.9475155,41.01055
Akasya Cafe ve Kebap,cafe,,28.9446851,41.0134439
