name,amenity,shop,longitude,latitude
Türkistan Kültür Evi - Kitap & Kahve,cafe,,28.95825796760719,41.01309149779448
Gül-i Bülbül,cafe,,28.97969135,41.01418385
Gallant Galata,cafe,,28.973852843735283,41.0257307223269
Meila Cafe,cafe,,29.05042912925288,41.08949505169669
Nevmekan Sahil,cafe,,29.010090054740616,41.02515623722118
Espressolab,cafe,,29.1268147441771,40.92368210310559
Starbucks,cafe,,29.123438149514172,40.92713692461452
Fırıncı,cafe,,29.131767513773827,40.92532348834651
The Co.,cafe,,29.134397250244795,40.92444761715038
Cafe Sporcular,cafe,,29.01397061092541,41.08672244626083
Mado,cafe,,28.643276534998837,41.012364557664405
Azade Cafe,cafe,,29.03471235,40.9853821
Mackolik Complex,cafe,,29.03478911109318,40.98739402696109
Beltur Caddebostan Sahil Kafe,cafe,,29.06399377257791,40.96301335448496
Yoğurtçu Kafe,cafe,,29.03356490908504,40.98614433214363
Bomonti,cafe,,29.02863116418525,40.98044671979963
Moda Park Cafe,cafe,,29.024911532517294,40.979975865951566
Kahve Bahane Kültür Cafe,cafe,,29.026815865313345,40.98647849402592
Masal Evi,cafe,,29.026542017081727,40.98618121790879
Caps,cafe,,29.039568042182307,40.976228664136855
Traffic,cafe,,29.092773761765294,40.952949697403135
Beltur Suadiye Sahil,cafe,,29.0868892,40.95502075
Uçan Ev,cafe,,28.982341042925555,41.03511596471334
Köy kahvesi - Çayocağı,cafe,,28.6746926996542,41.15539989457515
Dursunköy çayocağı,cafe,,28.63638359201004,41.20393060377981
Ferick Fried Chicken,cafe,,29.027565917412936,40.98750210172047
Maltepe Palace,cafe,,29.1222181142384,40.92833681959039
1Patroon,cafe,,29.122741551918956,40.92784478783637
Saray İstanbul,cafe,,29.122394884144715,40.928149662384094
Waffle works,cafe,,29.122549575390835,40.927988231605575
Güzelbahçe Cafe,cafe,,28.65147133498572,41.01542601938369
Vadi Kafe,cafe,,28.806714936155448,41.11052448214477
Özsüt,cafe,,29.18868919829199,40.95965452163973
Kule Market & Cafe,cafe,,28.682570966674422,41.07542678935924
No1 Culinaria,cafe,,29.022190843052485,41.20952752564478
Küçükçekmece Belediyesi Sosyal Tesisleri,cafe,,28.78462745749432,41.03587575308
Otağtepe Cafe,cafe,,29.075669114226752,41.08713180853061
FASSHANE,cafe,,29.37875025336495,40.8902047577195
Espresso House,cafe,,28.95909459914969,41.01200034957327
Jr. Bee,cafe,,29.019238971017863,41.10538412515295
