name,shop,leisure,longitude,latitude
Vefa Küçük Spor Salonu,,fitness_centre,28.95821151637685,41.01473869675589
Fatin Rüştü Zorlu Anadolu Lisesi Spor Salonu,,fitness_centre,29.21178875,40.901534100000006
Spora,,fitness_centre,29.08927522504096,40.98244119173452
Bahçeşehir Süleyman Demirel İlkokulu Spor Salonu,,fitness_centre,28.6851027,41.06279105
Bahçeşehir Atatürk A.L. Spor Salonu,,fitness_centre,28.683697550034637,41.074738572111016
Bahçeşehir Koleji Spor Salonu,,fitness_centre,28.68757645122596,41.06455033355715
İZÜ Spor Salonu,,fitness_centre,28.788623399999995,41.0299313
Fitkafa,,fitness_centre,29.132727613481997,41.0043209062863
Okyanus,,fitness_centre,29.139528650000003,41.0071632
Kapalı Spor Salonu,,fitness_centre,29.0131955,41.24292985
Bulvar Spor Tesisleri,,fitness_centre,29.186467977240824,40.9003016009194
Spor Salonu,,fitness_centre,29.05176879859237,41.11918603276245
Fashion Sport Center,,fitness_centre,29.04232925712949,41.01015043174214
İstanbul Üsküdar Lisesi Spor Salonu,,fitness_centre,29.029080999999994,41.02875295
Çamlıca Universe Sports and Health Club,,fitness_centre,29.049761809357665,41.01398277411841
teknopark spor salonu,,fitness_centre,29.3161408805,40.92014258532954
Semih Erden Spor Salonu,,fitness_centre,28.895251908165243,41.056879908963616
MACFit,,fitness_centre,29.04036965,41.21345535
Gaziosmanpaşa Belediyesi Yüzme Havuzu ve Spor Kompleksi,,fitness_centre,28.914306517723254,41.07285881766684
Bella Vita Club,,fitness_centre,28.596632798086773,41.08380329308568
MİSSTANBUL SPOR SALONU,,fitness_centre,28.80406897347908,41.09200672906805
İZÜ Spor Salonu,,fitness_centre,28.78857505,41.030588300000005
Tevfik Aydeniz Spor Tesisi,,fitness_centre,28.9382804432742,41.08152906525675
Akedemi Ümraniye Birol Hayal Yüzme Havuzu,,fitness_centre,29.10379642973301,41.01144744597583
Mobil İmam Hatip Ortaokulu Kapalı Spor Salonu,,fitness_centre,28.8974559182766,41.03799468699236
Zeytinburnu Belediyesi Spor Salonu,,fitness_centre,28.90598817884828,40.99404740199434
Fitness World GYM,,fitness_centre,28.895181,41.059317
Caroline fitness center,,fitness_centre,29.1680089,40.9006884
MACFit,copyshop,fitness_centre,28.9215006,41.0347954
CS-Club,,fitness_centre,28.9826437,41.0315366
Hariom Yoga,,fitness_centre,29.0378589,40.9823221
Sport Universe Gym,,fitness_centre,29.0247494,40.9886311
Dark Fitnes,,fitness_centre,28.8888062,41.07284
Champion Gym,,fitness_centre,29.0919308,40.9596958
Fitnesspark Bahçelievler,,fitness_centre,28.8590379,40.9987414
MACFit,,fitness_centre,29.1800866,40.8895515
Luff Functional Fitness,,fitness_centre,29.0680747,40.9744731
Fitness,,fitness_centre,29.2632209,40.9666777
Basi Systems Pilates,,fitness_centre,28.6442083,41.0612661
Fit Slim,,fitness_centre,28.9399615,41.0109758
MACFit,,fitness_centre,29.0244368,41.0588754
Xpower GYM,,fitness_centre,28.9452624,41.0121429
Asta la vista,,fitness_centre,28.9259827,40.9953724
Nefess Yoga,,fitness_centre,29.0228621,40.9800985
King Fitness Center,,fitness_centre,28.9552928,41.0165978
Power Gym,,fitness_centre,28.9344692,41.0111309
Extreme Body Fitness,,fitness_centre,28.9295494,41.0054022
R-Form,,fitness_centre,28.9300412,41.0067288
Fit Life,,fitness_centre,28.9348555,41.013165
İÜ Coğrafya Stüdyo Kapalı Spor Salonu,,fitness_centre,28.9595184,41.0151994
Champion,,fitness_centre,28.9339864,41.0046175
Club Sporıuum,,fitness_centre,28.9314296,41.0052519
Olympic spor salonu,,fitness_centre,28.9510711,41.0170332
Türktaş Sitesi,,fitness_centre,28.9246339,41.0154981
B fit,,fitness_centre,28.9463104,41.021879
Troy Gym,,fitness_centre,28.9461164,41.0220654
Flamingo,,fitness_centre,28.9432447,41.0107006
Flamingo GYM,,fitness_centre,28.9413741,41.0107895
Fitness World,,fitness_centre,28.9422074,41.0104704
Hakkay Yağlı,,fitness_centre,28.9397285,41.0116376
