name,amenity,shop,leisure,longitude,latitude
Bilfen Otopark,parking,,,29.059611305025143,41.01575675992284
Pentaş Havaalanı Otoparkı,parking,,,29.309672557974444,40.92455901847118
İspark Sabiha Gökçen,parking,,,29.30844394523264,40.9242773103892
Ümraniye Eğitim ve Araştırma Hastanesi Otoparkı 1,parking,,,29.101334042086577,41.03111314710016
İstanbul Havalimanı Otoparkı,parking,,,28.74258748087326,41.25774463444
İSPARK,parking,,,29.254022038245697,40.89058747250295
İSPARK,parking,,,29.254002100923238,40.89026179853048
Öğrenci Otoparkı,parking,,,29.131925103130303,40.9531075922709
İSPARK,parking,,,28.97436696629463,41.031918921757246
Atatürk Havalimanı Otoparkı,parking,,,28.819269086090205,40.97941445405156
Açık Otopark,parking,,garden,28.931723385562705,41.01509096576828
İETT Topkapı Garajı,parking,,,28.928702425522104,41.01660424565247
Migros Otoparkı,parking,,,28.940543062890946,41.0159917740715
Atrium AVM,parking,,,28.84582334520977,40.98813448957785
Ücretsiz Otopark Alanı,parking,,,28.9327998807768,41.01298987194608
Otopark,parking,,,28.932521965955303,41.01452471639629
İSPARK Mercan Açık Otoparkı,parking,,,28.967102725966583,41.01355797715005
İSPARK,parking,,,28.981600548321133,41.0281038513902
İspark Suadiye Sahil Açık,parking,,,29.07956975670674,40.9560951805128
İspark Eski Salı Pazarı Otoparkı,parking,,,29.03358037240893,40.990554027167775
İspark İçerenköy Açık Otoparkı,parking,,,29.104626591578224,40.977451814506864
İspark Kadıköy Açık Otoparkı,parking,,,29.018591642324125,40.98994293249796
Engineering Faculty Parking Lot,parking,,,29.25900354613254,41.02883474734312
İspark Şemsipaşa Açık Otoparkı,parking,,,29.0095962895588,41.025480036579445
İBB Ulaşım AŞ Çobançeşme Garajı,parking,,,28.95472515981897,41.08455347140059
Gazi Parkı Otoparkı,parking,,,28.901806657207047,41.09508773612323
Perpa Ticaret Merkezi Açık Otopark 3,parking,,,28.9711382791632,41.05954081577868
İspark Çengelköy Açık Otoparkı,parking,,,29.05339881537498,41.04844229065597
Kuledibi Otopark,parking,,,28.9730208697211,41.02715227457157
Pirelli Apartmanı Otoparkı,parking,,,29.015938597191504,41.089402743336
GoPark Merkez Otopark,parking,,,28.915546778524515,41.05699510552233
İspark,parking,,,29.02086380837188,40.98949119782135
Süreyyapaşa Kat Otoparkı,parking,,,29.029562038404386,40.98788759168185
İspark Bostancı İdo Açık Otoparkı 1,parking,,,29.09018427498301,40.95230617205287
İspark Kadıköy Dalyan Parkı Açık Otoparkı,parking,,,29.064766374108743,40.96340411501752
İspark Caddebostan Açık Otoparkı,parking,,,29.067350622642937,40.9636603678239
İspark,parking,,,28.789937160449018,40.97122615763328
İSPARK,parking,,,28.79450134207413,40.96931747441322
Sinanpaşa Otopark,parking,,,29.00320936672274,41.04260630145785
Süreyyapaşa Göğüs Hastalıkları Hastanesi Misafir Otoparkı,parking,,,29.142526208433072,40.9486252392092
Evlendirme Dairesi Otoparkı,parking,,,29.10275771891814,40.94614478989115
Novartis Kurtköy - Otopark,parking,,,29.321373297970837,40.936346345836185
Yönetim Binası Otopark,parking,,,29.320580802846624,40.93754996744058
Personel Otoparkı,parking,,,29.191358905763487,40.958398650286426
Personel Otoparkı,parking,,,29.19186216738774,40.95855542835233
Personel Otoparkı,parking,,,29.192009211172675,40.9588179586106
Personel Otoparkı,parking,,,29.19241892556854,40.95893330119089
Öğrenci Otoparkı,parking,,,29.19336226805304,40.95973351453532
Öğrenci Otoparkı,parking,,,29.189741444998383,40.95766189293148
Bauhaus Otopark,parking,,,28.656397147579973,41.01051186415427
2. El Otomotiv Bayisi,parking,,,29.044004220004,41.08465884527327
Sera,parking,,,28.86384156591673,40.9984060050615
Omsan Lojistik Orhanlı Park Sahası,parking,,,29.35243899684496,40.91239061628491
Yediemin Otopark,parking,,,29.09827496800694,41.09197869450493
Medistate Hastanesi Otoparkı,parking,,,29.100015103100567,41.094079200315306
Oto Yıkama Park,parking,,,28.9858596688922,41.03290939729729
Ortak Otopark,parking,,,29.036667387661083,41.11731148466726
Kadıköy Belediyesi Ek Hizmet Biansı,parking,,,29.128509834138185,40.9797001307367
