name,leisure,longitude,latitude
Yıldız Parkı,park,29.015937619578544,41.04839225875064
Büyük Çamlıca,park,29.068054922407008,41.02657302939066
Florya Sosyal Tesisleri,park,28.807898342559337,40.96195320165422
Özkan Parkı,park,29.238756234054048,40.903943963683
Nene Hatun Parkı,park,28.887241689775173,41.10081565084823
Bağcılar Bölge Parkı,park,28.869057353743163,41.03337471508345
Küçüksu Kasrı Mesire Alanı,park,29.06512172271372,41.0766336141408
Beylikdüze Osmanlı Bahçesi Parkı,park,28.64488843746463,40.99619334729853
Çamlık,park,29.1522345782178,40.97212267190397
Başakşehir 2.Etap Koru Parkı,park,28.78512507580328,41.10512570464063
Avcılar Sahil Parkı-2,park,28.74327920035828,40.97385245848844
Cemal Kaytaz Parkı,park,28.74231449828986,40.97438065426386
Beykoz Spor Ormanı,park,29.115964621821902,41.0629506307377
Moda Sahil Parkı,park,29.021215581542045,40.98054297904508
Sütlüce-3 Parkı,park,28.948321935202777,41.05818010331204
Erdoğan Sezer Parkı,park,28.882709098252896,41.09775405168188
Şehit Asteğmen Mustafa Burcu Parkı,park,28.718246802615976,40.97180862565579
Mimoza Parkı,park,29.07664415655417,41.01463696298921
Şehitler Parkı,park,28.66970501527654,41.017279404096406
Mimar Sinan Parkı,park,28.64854349844732,41.05917861995727
Taksim Gezi Parkı,park,28.986863767054466,41.03864053517082
Alay Meydanı,park,28.98189112813251,41.0101762700777
Ihlamur Kasrı,park,29.00136052897747,41.05126572787158
Dünya Barış Parkı,park,29.00302959262486,41.05023900457425
Abbasağa Parkı,park,29.006195694772828,41.046653280148526
Cihangir Parkı,park,28.985833514804884,41.0318124674313
Fındıklı Parkı,park,28.9900397605888,41.031451286673054
İnönü Parkı,park,28.9969073271034,41.04190294124598
Dolmabahçe Sarayı,park,28.99981796441002,41.039159042552924
Fatih Anıt Parkı,park,28.954360816830743,41.01571900799542
Çinili Parkı,park,29.0296398,41.02316213333334
Gülhane Parkı,park,28.98174280659756,41.01329350428183
Doğancılar Parkı,park,29.01328370101811,41.01887663139959
Selimiye Parkı,park,29.019475815434745,41.01071116686925
Küçükyalı-İdealtepe Kara ve Sahil Parkı,park,29.11030001937974,40.93795065512462
Maçka Demokrasi Parkı,park,28.99365912224828,41.04406890902773
Onur Parkı,park,29.29961477448357,40.838057625742366
Cemil Meriç Parkı,park,28.943904221316156,41.0401667002574
Bahçelievler Parkı,park,29.23877779355947,40.88233716813997
Gültekin Parkı,park,29.02502371110486,41.05173780535005
Ortabayır Parkı,park,29.02500291312746,41.05457498264155
Cemil Topuzlu Parkı,park,29.034533773452377,41.05413943829965
Bebek Parkı,park,29.04380761800299,41.07593545200434
Ortaköy Sahil Parkı,park,29.02708584046569,41.04747499112
Havacılar Parkı,park,29.02801497909661,41.0567979090002
Trabzon Parkı,park,29.13813797974707,41.02832832269962
Ambarlıdere Parkı,park,29.029737141664928,41.06365007379085
Şeker Parkı,park,29.026974127224605,41.07120360377017
Ulus Parkı,park,29.03231649044144,41.06385901334756
Yahya Kemal Parkı,park,29.00878888832092,41.04851311130575
Aydınlık Parkı,park,29.027894365774973,41.05478572219153
Kalamış Parkı,park,29.038148973930674,40.97987424019573
Göztepe 60. Yıl Parkı,park,29.057891913877015,40.96982308869383
Bolluca Millet Bahçesi,park,28.764726654612275,41.19649106418144
Paşalimanı Parkı,park,29.022861055295103,41.03237520541726
Hacıbaba Parkı,park,29.017030958773518,41.02898954319795
Soğanlı Bitkiler Parkı,park,28.91971370104379,40.98905795496333
Kuruçeşme Parkı,park,29.037661878157948,41.060799671654415
Beyoğlu Hacıahmet Parkı,park,28.972778957132288,41.04326107587293
Moda Sahil Parkı,park,29.029893266177588,40.98076167128004
Yoğurtçu Parkı,park,29.03368708791401,40.985348484972015
Saray Meydanı,park,28.92890428607693,41.01489870215325
Bahçeşehir Doğa Parkı,park,28.692616413729095,41.06862712449762
Bayrampaşa Şehir Parkı,park,28.88732772231736,41.0617853532256
Şehit Şeyhmuz Demir Parkı,park,28.949762801560748,41.04064728716303
Çıksalın Parkı,park,28.95174887378229,41.04876910608047
Mahmut Şevket Paşa Parkı,park,28.961062064444064,41.0543540988113
Sarsılmaz Parkı,park,28.966971773319766,41.01407216392317
Sobacılar Önü Parkı,park,28.967618502964623,41.01820584135945
Dolapdere Bahçe,park,28.973488252444884,41.03983395888006
Nakkaştepe Millet Bahçesi,park,29.037518259357768,41.03607693430084
Çamlık Parkı,park,29.051364943446444,40.97366412483724
Orkide Parkı,park,29.027820243905065,41.02589288106591
Fidan Parkı,park,29.025877035558747,41.08144336999911
Boğaziçi Üniversitesi,park,29.052370290859407,41.08493663076008
Beşçeşmeler Parkı,park,29.129159932006647,40.92149108027941
Şenol Güneş Parkı,park,29.05979712191861,41.03800392955811
Cüneyt Arkın Sanatçılar Parkı,park,29.029801408130584,41.08278879011272
Dostluk Parkı,park,29.08066312351707,41.016385779262016
Altınköy Parkı,park,29.08401223489852,41.01579465792263
Şehit Mehmet Hüseyin Balta Parkı,park,28.936294019891207,41.02982672323531
Edirnekapı Sur Dipleri,park,28.93463884724794,41.02982481633204
Maçka Sanat Parkı,park,28.99023157696702,41.04934307406585
Habitat Parkı,park,28.99107576765349,41.04816754505325
Abide-i Hürriyet ve Şehitlik Parkı,park,28.982355644187656,41.06823810412939
Duatepe Parkı,park,29.05090141761008,41.08736288222792
Küçükçekmece Menekşe Parkı,park,28.761128342356987,40.982133688841074
Şehit Mahmut Ergül Parkı,park,28.793142180974403,40.99517038607332
Japon Bahçesi,park,29.052179551421023,41.097103587196
Şehit Gaffar Okkan Parkı,park,28.783907490002196,40.98778733686015
Atatürk Ormanı,park,28.786704703650155,40.97848799401
Seyrantepe 700. Yıl Parkı,park,28.989343992464462,41.0970866730517
Amfili Park,park,29.13093864583592,40.9906004078951
Selamiçeşme Özgürlük Parkı,park,29.05573714664746,40.97918791398168
Cengiz Aytmatov Parkı,park,29.161617442494144,40.92000713040475
Sahil Parkı,park,29.127378719517797,40.921824581086014
Azerbaycan Dostluk Parkı,park,29.00220939300985,41.05200778353835
Anadolu Parkı,park,28.995091870301128,41.09731105844341
3 Mayıs Çocuk Parkı,park,29.11168193808509,40.98055724779613
Türk Bahçesi,park,28.92081676046465,40.99317501705725
Fetih Parkı,park,28.911541325903126,41.084740851403616
Cumhuriyet Parkı,park,29.108779541035208,40.99386204881026
Yunus Emre Sitesi Parkı,park,28.851100179313327,40.98868689923845
Aydın Demir Park,park,29.04235095864149,41.02023570071536
Barış Manço Parkı,park,29.04484120873981,41.01949831740235
Atatürk Parkı,park,28.772120523365704,41.022158145329605
Prof. Dr. Kriton Curi Parkı,park,29.09374120681821,40.97655045665836
Zübeyde Hanım Parkı,park,29.090399872387348,40.97171442624405
Cumhuriyet Parkı,park,28.64396911210661,41.01681407012557
Bahçeşehir Atatürk Parkı,park,28.68532915840549,41.06202380492806
Üçtepe Parkı,park,28.95515827040031,41.07952675079423
Çoban Çeşme Parkı,park,28.951046781506868,41.08111946772144
Çobançeşme Çocuk Köyü,park,28.952972558058452,41.08456204953998
Alibeyköy Merkez Parkı,park,28.948720455920803,41.08016992787657
Arkeoloji Parkı,park,28.953143042137484,41.01438253443382
Şelale Parkı,park,28.681309261047616,41.06993086809162
Binbirdirek Sarnıcı,park,28.97372642008247,41.00749382042252
Mecidiye Parkı,park,29.18971850222404,41.02641307473872
Barış Manço Parkı,park,29.098819716341925,40.9664651773964
Ihlamur Parkı,park,28.64935267229368,41.01726840489635
Şehitler Parkı,park,28.671511436645577,41.01749328006749
Haramidere Yaşam Vadisi,park,28.668090791907503,41.02238201624149
