name,railway,longitude,latitude
Ispartakule,station,28.699268829265275,41.06294353507538
Karaköy,station,28.9740393,41.0228645
Beyoğlu,station,28.9739892,41.0283447
Zeytinburnu-Fişekhane,station,28.9054568,40.9858638
Küçükyalı,station,29.1071691,40.9462581
Atalar,station,29.1691914,40.8987868
Cevizli,station,29.1559855,40.9100807
Sinekli,station,28.1923087,41.2310387
İdealtepe,station,29.1142485,40.9378183
Süreyya Plajı,station,29.1242403,40.9267941
Maltepe,station,29.133295,40.920807
Pendik,station,29.2315477,40.8802498
Gayrettepe,station,29.0111192,41.0690337
Kartal,station,29.1910827,40.8886904
Florya,station,28.7876122,40.972897
Yenimahale,station,28.8810529,40.9817256
Yeşilyurt,station,28.8373253,40.9654468
Emniyet - Fatih,station,28.9393888,41.017567
Yeşilköy,station,28.824857,40.9626544
Kadıköy,station,29.0220448,40.9905872
Ayrılık Çeşmesi,station,29.0302593,41.0001678
Yenisahra,station,29.0904257,40.9845938
Göztepe,station,29.0706141,40.9940938
Acıbadem,station,29.0444009,41.0023323
Bostancı,station,29.1053769,40.964688
Yunus,station,29.2104051,40.8845607
Erenköy,station,29.0763701,40.9716688
Maltepe,station,29.139504,40.9358681
Kartal,station,29.2113435,40.9065852
Küçükyalı,station,29.1219958,40.9489271
Seyrantepe,station,28.9957261,41.1011898
Sanayi,station,29.0051754,41.0942135
Atatürk Oto Sanayi,station,29.0241763,41.1180498
Halkalı,station,28.7665286,41.0183702
Kaynarca,station,29.2559607,40.8713685
Fıstıkağacı,station,29.0283579,41.0281537
Yenikapı,station,28.9515608,41.0051614
Çayırdere,station,28.1217427,41.2599697
Kabakça,station,28.3647008,41.215506
Çatalca,station,28.480199,41.1505914
Olimpiyat,station,28.7672398,41.0795735
Ziya Gökalp,station,28.7864545,41.0745493
İSTOÇ,station,28.8260353,41.0649898
Mahmutbey,station,28.8306301,41.0551119
Başak Konutları,station,28.7913461,41.0978061
Metrokent,station,28.8014943,41.1081483
İkitelli Sanayi,station,28.803895,41.0711324
Kazlıçeşme,station,28.9168903,40.9926732
Levent,station,29.0144803,41.0758404
Vezneciler-İstanbul Üniversitesi,station,28.9597006,41.0122525
Nispetiye,station,29.0240046,41.0773859
Etiler,station,29.0375989,41.0824567
Ünalan,station,29.0600259,40.9980939
Gayrettepe,station,29.0106451,41.0668589
Yeni Mahalle,station,28.8359881,41.0404044
Turgut Özal,station,28.7975395,41.0812047
Siteler,station,28.7965629,41.0882324
Pendik,station,29.238581,40.8886547
Tavşantepe,station,29.2488342,40.882159
Yakacık—Adnan Kahveci,station,29.2271263,40.8966262
Tersane,station,29.2732939,40.8611643
Güzelyalı,station,29.2836051,40.8568284
Aydıntepe,station,29.2931959,40.8522949
İçmeler,station,29.3000382,40.8456867
Tuzla,station,29.3224266,40.8299498
Levent,station,29.0137913,41.0768932
Bostancı,station,29.0949153,40.9539279
Yamanevler,station,29.1087471,41.0242009
Kısıklı,station,29.0620794,41.0221852
Altunizade,station,29.0483118,41.021911
Bağlarbaşı,station,29.0368747,41.0214561
Suadiye,station,29.0844637,40.9605007
Üsküdar,station,29.0131466,41.0256394
Bakırköy,station,28.8724259,40.9803562
Çekmeköy,station,29.1895134,41.0145289
Necip Fazıl,station,29.1794304,41.0160135
Dudullu,station,29.1631878,41.0153698
İmam Hatip Lisesi,station,29.1517449,41.0160466
Altınşehir,station,29.1400344,41.0166656
Ihlamurkuyu,station,29.1306269,41.0197808
Çakmak,station,29.1186259,41.0215971
Vadi İstanbul,station,28.9884311,41.1075562
Fevzi Çakmak - Hastane,station,29.2624462,40.8888001
Yayalar-Şeyhli,station,29.2757138,40.9040157
Sabiha Gökçen Havalimanı,station,29.3114591,40.9065703
Söğütlüçeşme,station,29.0376538,40.9910017
Ataköy,station,28.8562265,40.9802282
Florya Akvaryum,station,28.7969885,40.9678261
Mustafa Kemal,station,28.7738899,41.0061764
Küçükçekmece,station,28.7729647,40.9885202
Feneryolu,station,29.0487327,40.9788502
Başak,station,29.1774971,40.890264
Kurtköy,station,29.2967277,40.9098874
Sirkeci,station,28.9771437,41.0136066
Seyrantepe,station,28.9947104,41.1030755
Yıldız,station,29.009666,41.054072
Nurtepe,station,28.9634762,41.0798589
Alibeyköy,station,28.949577,41.0791413
Kağıthane,station,28.9731198,41.0796544
Fulya,station,29.0069778,41.0623115
Giyimkent-Tekstilkent,station,28.8667756,41.0712858
Karadeniz Mahallesi,station,28.8750965,41.081247
Çırçır,station,28.9363025,41.0801289
Veysel Karani-Akşemsettin,station,28.9281287,41.0795812
Yeşilpınar,station,28.9182892,41.0822903
Kâzım Karabekir,station,28.9085323,41.0853315
Yenimahalle,station,28.8927638,41.0838895
Çağlayan,station,28.9805133,41.0707068
Parseller,station,29.1527388,41.0312427
Huzur,station,29.1595862,41.022602
Göztepe,station,29.0626271,40.9792106
Kirazlı,station,28.8422874,41.0318236
Davutpaşa - YTÜ,station,28.900375,41.0202193
Bakırköy-İncirli,station,28.8753616,40.9966207
Onurkent,station,28.7905007,41.1134023
Toplu Konutlar,station,28.7678634,41.1076913
Kayaşehir Merkez,station,28.7663353,41.1190792
Samandıra Merkez,station,29.2314094,40.9836831
Sancaktepe,station,29.2290134,40.9920567
Meclis,station,29.198884,41.0096577
MODOKO-KEYAP,station,29.1620118,41.0074042
İMES,station,29.155986,41.000233
Mevlana,station,29.1533813,40.9921566
Kayışdağı,station,29.1377413,40.9846866
İçerenköy,station,29.1262074,40.9789595
Küçükbakkalköy,station,29.1118694,40.978931
Ayşekadın,station,29.0867801,40.9668107
Emin Ali Paşa,station,29.093549,40.9606909
Kemerburgaz,station,28.9102378,41.1591813
İstanbul Havalimanı,station,28.7425561,41.2559331
Kozyatağı,station,29.0996756,40.97539
Ümraniye,station,29.0847972,41.024613
Çarşı,station,29.097392,41.0259405
Yenikapı,station,28.9514872,41.0056529
Kirazlı,station,28.8429812,41.03199
Üsküdar,station,29.0127634,41.0253395
Hastane Adliye,station,29.1783001,40.9163935
Haliç,station,28.9666792,41.02269
Şişhane,station,28.9727191,41.0282743
Taksim,station,28.985549,41.0380506
Osmanbey,station,28.9874046,41.0527755
Şişli,station,28.9927696,41.0645059
Bağcılar Meydan,station,28.8566398,41.0346825
Üçyüzlü,station,28.8706993,41.0367017
Menderes,station,28.8784952,41.0427411
Esenler,station,28.8885873,41.0375744
Otogar,station,28.8946029,41.0402205
Kocatepe,station,28.8955023,41.0484385
Sağmalcılar,station,28.9071541,41.0408592
Bayrampaşa-Maltepe,station,28.9202619,41.0341105
Topkapı Ulubatlı,station,28.9305575,41.0239057
Aksaray,station,28.9481445,41.0119976
Yenikapı,station,28.9505178,41.0057787
Terazidere,station,28.8978698,41.0304621
Zeytinburnu,station,28.8899747,41.0017169
Merter,station,28.8961294,41.0074232
Bahçelievler,station,28.8633136,40.9954814
Ataköy-Şirinevler,station,28.8457709,40.9913785
Yenibosna,station,28.8368204,40.9893998
DTM-İstanbul Fuar Merkezi,station,28.8284735,40.986602
Atatürk Havalimanı,station,28.8211267,40.9797455
Boğaziçi Üniversitesi/Hisarüstü,station,29.0456413,41.0851345
4. Levent,station,29.0071653,41.086111
İTÜ-Ayazağa,station,29.0209695,41.1080715
Darüşşafaka,station,29.0250803,41.1292759
Hacıosman,station,29.0304548,41.1397645
Oruç Reis - Yüzyıl,station,28.8554546,41.0627949
Göztepe,station,28.8479795,41.056831
Huzurevi,station,29.1468056,40.9299537
Gülsuyu,station,29.1547148,40.9238717
Esenkent,station,29.1664075,40.920837
Soğanlık,station,29.1924269,40.9132162
Şehir Hastanesi,station,28.7772334,41.1032301
Molla Gürani,station,28.8479604,41.0259439
Yıldıztepe,station,28.8577509,41.0194161
İlkyuva,station,28.8655579,41.0116361
Haznedar,station,28.8716807,41.0046217
İncirli,station,28.8750558,40.9976332
Özgürlük Meydanı,station,28.8740542,40.981628
Bakırköy Sahil,station,28.8680322,40.9736492
Kozyatağı,station,29.0998855,40.9774855
Mecidiyeköy,station,28.9955189,41.0651758
Atatürk Mahallesi,station,28.7987338,41.0522224
Bahariye,station,28.7993012,41.0584718
MASKO,station,28.8041363,41.0641121
Halkalı Caddesi,station,28.8065121,41.0450113
15 Temmuz,station,28.814003,41.036891
Mimar Sinan,station,28.8165787,41.0250887
Doğu Sanayi,station,28.8179193,41.0149413
29 Ekim Cumhuriyet,station,28.8186101,41.0061738
Çobançeşme,station,28.8226129,40.9997399
Yenibosna,station,28.8379196,40.9894427
Ataköy,station,28.8562809,40.9799289
Kağıthane,station,28.9765616,41.080086
Hasdal,station,28.9468433,41.1212167
Göktürk,station,28.8836557,41.1770052
İhsaniye,station,28.8089418,41.242904
Kargo Terminali,station,28.7126953,41.2554335
Bostancı,station,29.0967248,40.9517055
Taksim,station,28.9866305,41.0367764
Konut Birlik,station,28.763349,41.03461
Altınşehir,station,28.7477316,41.0474135
Bahçeşehir,station,28.6788126,41.0843995
Ispartakule,station,28.6993173,41.0629265
Bulgurlu,station,29.0762576,41.0162865
Boğaziçi Üniversitesi/Hisarüstü,station,29.0458748,41.0850943
Aşiyan,station,29.0549987,41.08138
Taşoluk,station,28.715889,41.2070653
Arnavutköy Hastane,station,28.7476829,41.1790982
Cankurtaran,station,28.9830122,41.0055376
Sarıgazi,station,29.2126756,41.0100295
Yedikule,station,28.9269188,40.9935264
Kocamustafapaşa,station,28.9331768,40.9999287
Cerrahpaşa,station,28.9402407,41.0028107
Yenikapı,station,28.9524013,41.004765
Kumkapı,station,28.9629002,41.0033651
Sirkeci,station,28.977962,41.0150174
Ömerli,station,28.6414161,41.1172857
