name,amenity,shop,longitude,latitude,market_type
MMM Migros,,supermarket,29.1246297599018,40.92581058139495,chain
Migros,,supermarket,29.065097171489423,40.963557073993925,chain
Hakmar,,supermarket,29.142454549999997,40.92899995,chain
Uyum Market,,supermarket,28.67692408000093,41.05759476870604,local
Uyum Market,,supermarket,29.072416810760984,41.05814351670579,local
Migros,,supermarket,29.040349913197844,40.97655701857842,chain
Macrocenter,,supermarket,29.04734114241337,40.97370119079871,unknown
CarrefourSA,,supermarket,29.15224496409675,40.99151083914556,chain
Migros,,supermarket,29.12649399689574,40.99199612412727,chain
CarrefourSA,,supermarket,29.049241921038924,41.118150802599686,chain
Migros,,supermarket,29.049722096782467,41.11627296695541,chain
Migros,,supermarket,29.30759815856734,40.92831943845522,chain
Emin Hipermarket,,supermarket,29.053478777295165,41.03431686484421,local
Showmar,,supermarket,29.094565874543147,41.03445680406182,local
Migros,,supermarket,29.021477599533924,41.20837716940204,chain
Migros,,supermarket,28.89402699177352,41.00607153440483,chain
Migros,,supermarket,29.033084906894963,41.21875960241535,chain
Sarıyer Market,,supermarket,29.031727324875828,41.2152737867379,local
MMM Migros,,supermarket,29.07905037217314,41.08092237797472,chain
Çelik Süpermarket,,supermarket,29.1175452,40.968699650000005,local
Migros,,supermarket,29.04150342235289,41.010353972334,chain
Çağrı Market,,supermarket,29.136831438047817,41.00290920670606,local
Anpa Gross Kartal,,supermarket,29.21125077252542,40.91269118453263,local
CarrefourSA,,supermarket,29.024766242336657,41.05881171340264,chain
UCZ Market,,supermarket,29.44023955,41.19331329999999,local
Oruç Market,,supermarket,29.14140955047836,40.93909981687647,local
HAPPY  CENTER,,supermarket,29.179291511211293,41.03259128647421,unknown
File,,supermarket,29.13687485,40.92162955,local
paska süper market,,supermarket,29.129627900000003,40.93642415000001,local
MOPAŞ,,supermarket,29.1362088,40.93339965,local
Migros,,supermarket,28.811379295233344,41.06813053036245,chain
özer hipermarket,,supermarket,29.087913484441632,41.09309669481108,local
Namlı Market,,supermarket,29.09721423444434,41.09514377912782,local
Migros,,supermarket,28.88100320421905,40.98024205783513,chain
mopaş,,supermarket,29.08686333906041,41.09648665381819,local
MM Migros,,supermarket,29.17607180809204,41.02879126281571,chain
Migros,,supermarket,29.02357268276539,41.05571718328637,chain
CarrefourSA,,supermarket,29.0267520177765,40.99268587793543,chain
Happy Center,,supermarket,29.13415987186972,40.92993655288839,unknown
Migros,,supermarket,29.24063166135856,40.88191728544648,chain
Migros,,supermarket,29.165043448178043,40.89836762655538,chain
MMM Migros,,supermarket,29.17643109134823,41.042034293338965,chain
Migros,,supermarket,29.193037744760765,41.00711327815221,chain
Şok,,supermarket,29.135706814954176,40.917327342647255,chain
Snowy Market,,supermarket,28.874730114872552,41.0522499338607,local
A101,,supermarket,29.10376772339361,41.01510214113821,chain
Hakmar,,supermarket,29.215855102724728,41.00778282128089,chain
Çağrı Süpermarket,,supermarket,29.22761212213418,40.88400591909116,local
