name,shop,leisure,longitude,latitude
Vefa Küçük Spor Salonu,,fitness_centre,28.95821151637685,41.01473869675589
Fatin Rüştü Zorlu Anadolu Lisesi Spor Salonu,,fitness_centre,29.21178875,40.901534100000006
Bahçeşehir Süleyman Demirel İlkokulu Spor Salonu,,fitness_centre,28.6851027,41.06279105
Bahçeşehir Atatürk A.L. Spor Salonu,,fitness_centre,28.68369755003464,41.074738572111016
Bahçeşehir Koleji Spor Salonu,,fitness_centre,28.68757645122596,41.06455033355715
İZÜ Spor Salonu,,fitness_centre,28.788623399999995,41.0299313
Kapalı Spor Salonu,,fitness_centre,29.0131955,41.24292985
Spor Salonu,,fitness_centre,29.05176879859237,41.11918603276245
İstanbul Üsküdar Lisesi Spor Salonu,,fitness_centre,29.029080999999994,41.02875295
teknopark spor salonu,,fitness_centre,29.3161408805,40.92014258532954
Semih Erden Spor Salonu,,fitness_centre,28.895251908165243,41.056879908963616
MACFit,,fitness_centre,29.04036965,41.21345535
MİSSTANBUL SPOR SALONU,,fitness_centre,28.80406897347908,41.09200672906805
İZÜ Spor Salonu,,fitness_centre,28.78857505,41.030588300000005
Mobil İmam Hatip Ortaokulu Kapalı Spor Salonu,,fitness_centre,28.8974559182766,41.03799468699236
Zeytinburnu Belediyesi Spor Salonu,,fitness_centre,28.90598817884828,40.99404740199434
Fitness World GYM,,fitness_centre,28.895181,41.059317
Caroline fitness center,,fitness_centre,29.1680089,40.9006884
MACFit,copyshop,fitness_centre,28.9215006,41.0347954
Hariom Yoga,,fitness_centre,29.0378589,40.9823221
Sport Universe Gym,,fitness_centre,29.0247494,40.9886311
Dark Fitnes,,fitness_centre,28.8888062,41.07284
Champion Gym,,fitness_centre,29.0919308,40.9596958
MACFit,,fitness_centre,29.1800866,40.8895515
Luff Functional Fitness,,fitness_centre,29.0680747,40.9744731
Fitness,,fitness_centre,29.2632209,40.9666777
Basi Systems Pilates,,fitness_centre,28.6442083,41.0612661
MACFit,,fitness_centre,29.0244368,41.0588754
Xpower GYM,,fitness_centre,28.9452624,41.0121429
Nefess Yoga,,fitness_centre,29.0228621,40.9800985
King Fitness Center,,fitness_centre,28.9552928,41.0165978
Power Gym,,fitness_centre,28.9344692,41.0111309
Extreme Body Fitness,,fitness_centre,28.9295494,41.0054022
İÜ Coğrafya Stüdyo Kapalı Spor Salonu,,fitness_centre,28.9595184,41.0151994
Olympic spor salonu,,fitness_centre,28.9510711,41.0170332
Troy Gym,,fitness_centre,28.9461164,41.0220654
Flamingo GYM,,fitness_centre,28.9413741,41.0107895
Fitness World,,fitness_centre,28.9422074,41.0104704
Atlas spor salonu,,fitness_centre,28.9462535,41.0165387
Fatih Pilates gym,,fitness_centre,28.9417219,41.0192505
Dragos FitnessCity,,fitness_centre,29.1695091,40.8976504
Lifetime Fitness Center,,fitness_centre,29.1674757,40.8974003
Lets Pilates,,fitness_centre,29.0866322,40.9572988
Yoga Academy,,fitness_centre,29.183048,41.0312812
Free Life Fitness Spor Salonu,,fitness_centre,28.8644349,41.1049043
Relax Fitness Spor,,fitness_centre,28.8627508,41.099851
Pilates Stüdio,,fitness_centre,29.086817,40.9653059
MACFit,,fitness_centre,29.1350339,40.9382213
Burgu Arjaan By Rotana Bodylines Pool and Fitness Center,,fitness_centre,29.1361583,40.9368993
Body Line,,fitness_centre,28.8958338,40.9874435
Atletik Fİtness,,fitness_centre,29.03042,41.0203988
MACFit,,fitness_centre,29.0388846,41.0218156
Metin aydın spor salonu,,fitness_centre,29.0276714,41.0234046
Yoga8,,fitness_centre,28.9959004,41.0522541
Naim Fitness,,fitness_centre,29.2852458,40.9153256
Fit Box Fitness,,fitness_centre,28.7927656,40.9930958
Atılım Fitness,,fitness_centre,29.3054448,40.8151273
Gymfit,,fitness_centre,28.8121068,41.0401803
Tozkoparan Spor Salonu,,fitness_centre,28.8949953,41.0129305
Pro Gold Gym,,fitness_centre,28.8045571,41.0462072
Pilates Demet Topa,,fitness_centre,29.0283499,40.9837843
NOA Gym,,fitness_centre,28.9761697,41.0261338
