name,shop,leisure,longitude,latitude
Çamlıca Universe Sports and Health Club,,fitness_centre,29.049761809357665,41.01398277411841
Gaziosmanpaşa Belediyesi Yüzme Havuzu ve Spor Kompleksi,,fitness_centre,28.91430651772325,41.07285881766684
Bella Vita Club,,fitness_centre,28.596632798086773,41.08380329308568
Akedemi Ümraniye Birol Hayal Yüzme Havuzu,,fitness_centre,29.10379642973301,41.01144744597583
CS-Club,,fitness_centre,28.9826437,41.0315366
Club Sporıuum,,fitness_centre,28.9314296,41.0052519
Shape Club,,fitness_centre,29.1038308,40.9879686
Stadyum,,fitness_centre,28.9019813,41.0154778
Health Club & Spa Soul,,fitness_centre,29.009313,41.0469941
İK Baborry Life Club,,fitness_centre,29.3036393,40.9185701
Sultan Osman Hamami,,fitness_centre,28.9734672,41.0063748
Fit Club,,fitness_centre,29.1180116,40.9790745
She Club,,fitness_centre,28.6509984,40.998955
Akın Fit Club,,fitness_centre,28.9343173,41.0744575
Atlantis Sport Club,,fitness_centre,29.3101426,40.9281228
Fitcity Capacity AVM,,fitness_centre,28.8709555,40.9774928
Weekend Training Club,,fitness_centre,29.0728847,40.9725816
Weekend Training Club,,fitness_centre,29.0769522,40.9650256
Fitcity Marmara Forum AVM,,fitness_centre,28.8863234,40.9979316
Fitcity Forum İstanbul AVM,,fitness_centre,28.8978079,41.0463108
Athletic Club,,fitness_centre,29.1356407,40.9694555
U Training Club,,fitness_centre,29.0742922,40.9682648
