name,shop,leisure,longitude,latitude
Spora,,fitness_centre,29.08927522504096,40.98244119173452
Fitkafa,,fitness_centre,29.132727613482,41.0043209062863
Okyanus,,fitness_centre,29.139528650000003,41.0071632
Bulvar Spor Tesisleri,,fitness_centre,29.186467977240824,40.9003016009194
Fashion Sport Center,,fitness_centre,29.04232925712949,41.01015043174214
Tevfik Aydeniz Spor Tesisi,,fitness_centre,28.9382804432742,41.08152906525675
Fitnesspark Bahçelievler,,fitness_centre,28.8590379,40.9987414
Fit Slim,,fitness_centre,28.9399615,41.0109758
Asta la vista,,fitness_centre,28.9259827,40.9953724
R-Form,,fitness_centre,28.9300412,41.0067288
Fit Life,,fitness_centre,28.9348555,41.013165
Champion,,fitness_centre,28.9339864,41.0046175
Türktaş Sitesi,,fitness_centre,28.9246339,41.0154981
B fit,,fitness_centre,28.9463104,41.021879
Flamingo,,fitness_centre,28.9432447,41.0107006
Hakkay Yağlı,,fitness_centre,28.9397285,41.0116376
Fitslim,,fitness_centre,28.940002,41.0110995
Sportwani,,fitness_centre,28.943873,41.0185139
City Sport Center,,fitness_centre,29.0316385,41.0272708
Mavi Club Fitness,,fitness_centre,29.2533311,40.875801
Salon Alican Öncel,,fitness_centre,29.1679014,40.8977506
Easy Fit,,fitness_centre,29.1858413,41.0318468
Ulusal Spor Klübü,,fitness_centre,29.2652612,40.9789508
Spor yaşam merkezi,,fitness_centre,28.9104595,40.9962783
Eser Spor Kulübü,,fitness_centre,28.8241166,41.0375177
Pleon,,fitness_centre,29.1066566,40.9975392
Proness CLUB Fitness Center,,fitness_centre,28.8057859,41.0931454
Ebru Karaduman Beden Atölyesi,,fitness_centre,29.0977647,40.9838268
UpLife,,fitness_centre,29.2097608,40.9133381
Fit Life Sports,,fitness_centre,29.1048661,40.9501618
Crross Fit Skylıght,,fitness_centre,29.0955482,40.9830845
Centro,,fitness_centre,29.0282253,40.9870605
Just Fit,,fitness_centre,29.0273517,40.9830082
Ness Qwert,,fitness_centre,28.8934438,40.9928975
9Round,,fitness_centre,29.0318289,41.0795491
Bfit,,fitness_centre,29.1007791,40.953328
Fitamine,,fitness_centre,29.1093084,40.9793656
Eureko Sigorta,,fitness_centre,29.0441104,41.0207141
Cadde Fitness Club,,fitness_centre,29.046628,40.9739564
FLAMINGO,,fitness_centre,28.8873612,41.0211987
Maestro,,fitness_centre,29.0260303,40.983541
The Moon,,fitness_centre,29.0312625,40.9866392
Room,,fitness_centre,29.1150941,40.9816337
Blue beach Büyükada,,fitness_centre,29.1224453,40.8724743
USA Team Fitness & Fight Club,,fitness_centre,29.0269611,40.9917836
Sports Factory,,fitness_centre,29.088559,40.9712847
Garduf,,fitness_centre,29.0907019,40.9654611
Cure,,fitness_centre,29.004874,41.0635819
Maximus Functional Training,,fitness_centre,29.0865288,40.9687814
b-fit,,fitness_centre,29.3068245,40.9171974
Fitcity Beylikdüzü Safir Residence,,fitness_centre,28.6495266,41.0160064
Hercules,,fitness_centre,29.1304898,40.9265521
