name,amenity,longitude,latitude,health_type,name_norm
Validebağ Devlet Hastanesi,hospital,29.040877743033622,41.01220159451507,hospital,validebag devlet hastanesi
Hadımköy Dr. İsmail Niyazi Kurtulmuş Hastanesi,hospital,28.619494818334093,41.15522190080645,hospital,hadımkoy dr. ismail niyazi kurtulmus hastanesi
Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi,hospital,28.99004167351327,41.03759135002724,hospital,sisli hamidiye etfal egitim ve arastırma hastanesi
Çapa Tıp Fakültesi Hastanesi,hospital,28.933917245131177,41.0167251797893,hospital,capa tıp fakultesi hastanesi
Özel Çapa Hastanesi,hospital,28.93417578138925,41.01332207969112,hospital,ozel capa hastanesi
İstanbul Bezmialem Vakıf Üniversitesi Valide Sultan Gureba Hastanesi,hospital,28.93580515091885,41.01839939066624,hospital,istanbul bezmialem vakıf universitesi valide sultan gureba hastanesi
Medilife Çapa Hastanesi,hospital,28.933459124094696,41.014829905788666,hospital,medilife capa hastanesi
İstanbul Esnaf Hastanesi,hospital,28.96223086542626,41.01396577598571,hospital,istanbul esnaf hastanesi
İstanbul Eğitim ve Araştırma Hastanesi,hospital,28.93804535325536,41.003258344679786,hospital,istanbul egitim ve arastırma hastanesi
SBÜ Sultan Abdülhamid Han Eğitim ve Araştırma Hastanesi,hospital,29.02097826754317,41.00119562010951,hospital,sbu sultan abdulhamid han egitim ve arastırma hastanesi
Şişli Etfal Eğitim ve Araştırma Hastanesi,hospital,28.99069323195136,41.05785907463875,hospital,sisli etfal egitim ve arastırma hastanesi
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,hospital,29.022857739959964,41.00491606239202,hospital,haydarpasa numune egitim ve arastırma hastanesi
Dr. Lütfi Kırdar Kartal Eğitim ve Araştırma Hastanesi,hospital,29.173552201738698,40.91547682798914,hospital,dr. lutfi kırdar kartal egitim ve arastırma hastanesi
Okmeydanı Profesör Doktor Cemil Taşçıoğlu Şehir Hastanesi,hospital,28.9749745150814,41.06472920962048,hospital,okmeydanı profesor doktor cemil tascıoglu sehir hastanesi
Göztepe Prof. Dr. Süleyman Yalçın Şehir Hastanesi,hospital,29.05685453081105,40.98633813904807,hospital,goztepe prof. dr. suleyman yalcın sehir hastanesi
Maltepe Üniversitesi Hastanesi,hospital,29.13514796059067,40.92552174921144,hospital,maltepe universitesi hastanesi
Fransız Lape Hastanesi,hospital,28.99057951189673,41.06189962731797,hospital,fransız lape hastanesi
Fatih Sultan Mehmet Eğitim ve Araştırma Hastanesi,hospital,29.1048682948531,40.97098839206228,hospital,fatih sultan mehmet egitim ve arastırma hastanesi
Yeditepe Üniversitesi Kozyatağı Hastanesi,hospital,29.10352226502524,40.968887090273626,hospital,yeditepe universitesi kozyatagı hastanesi
Avicenna Hastanesi,hospital,29.108622000000004,40.9793026,hospital,avicenna hastanesi
Erenköy Ruh ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,hospital,29.088618031024115,40.974977576749474,hospital,erenkoy ruh ve sinir hastalıkları egitim ve arastırma hastanesi
Emsey Hastanesi,hospital,29.28886181501014,40.92368575441379,hospital,emsey hastanesi
Haydarpaşa Numune Hastanesi Yeldeğirmeni Semt Polikliniği,hospital,29.02900909568512,40.99307082441632,hospital,haydarpasa numune hastanesi yeldegirmeni semt poliklinigi
Fatih Medical Park Hastanesi,hospital,28.952268517141377,41.01479902151175,hospital,fatih medical park hastanesi
Esenyurt Necmi Kadıoğlu Devlet Hastanesi,hospital,28.66838314753684,41.02863804255712,hospital,esenyurt necmi kadıoglu devlet hastanesi
Özel Gazi Hastanesi,hospital,28.8985903013395,41.10101485850736,hospital,ozel gazi hastanesi
Florence Nightingale Hastanesi,hospital,29.04171228813457,40.98162725360874,hospital,florence nightingale hastanesi
Esenyurt Devlet Hastanesi (Ek Binası),hospital,28.68302207801807,41.03250012707037,hospital,esenyurt devlet hastanesi (ek binası)
Erenköy Fizik Tedavi ve Rehabilitasyon Hastanesi,hospital,29.083683009678573,40.97484035260566,hospital,erenkoy fizik tedavi ve rehabilitasyon hastanesi
Dr. Siyami Ersek Göğüs Kalp ve Damar Cerrahisi Eğitim ve Araştırma Hastanesi,hospital,29.024350610150105,41.003949764204506,hospital,dr. siyami ersek gogus kalp ve damar cerrahisi egitim ve arastırma hastanesi
Erenköy Fizik Tedavi ve Reahabilitasyon Hastanesi,hospital,29.06562753920075,40.98597989489424,hospital,erenkoy fizik tedavi ve reahabilitasyon hastanesi
Acıbadem Kadıköy Hastanesi,hospital,29.043081459391228,41.00713678758861,hospital,acıbadem kadıkoy hastanesi
İtalyan Hastanesi - Giovanni Alberto Agnelli,hospital,28.98116711986051,41.02847363234936,hospital,italyan hastanesi - giovanni alberto agnelli
Beylikdüzü Devlet Hastanesi,hospital,28.624541809920323,41.01468068286692,hospital,beylikduzu devlet hastanesi
Maltepe Üniversitesi Kadın Doğum ve Çocuk Hastanesi,hospital,29.13331678123535,40.92603382871951,hospital,maltepe universitesi kadın dogum ve cocuk hastanesi
Pendik Devlet Hastanesi Kurtköy Semt Polikliniği,hospital,29.307877735129324,40.92537140023898,hospital,pendik devlet hastanesi kurtkoy semt poliklinigi
Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi,hospital,29.26281975689594,40.88665130912257,hospital,marmara universitesi pendik egitim ve arastırma hastanesi
