name,amenity,longitude,latitude,health_type,name_norm
Orion Surgery Center,hospital,28.981972113984387,41.09007212353086,other_health,orion surgery center
Acıbadem International Hospital,hospital,28.8355184777438,40.95888617624231,other_health,acıbadem international hospital
Erenköy Polikliniği,hospital,29.07639392748856,40.97215198633679,other_health,erenkoy poliklinigi
Kolan Hospital-Beylikdüzü,hospital,28.62959134201721,41.006606152102734,other_health,kolan hospital-beylikduzu
Büyükçekmece Devlet Hastanesi Gürpınar Poliklinikleri,hospital,28.607599640897213,40.99646238603989,clinic_dental,buyukcekmece devlet hastanesi gurpınar poliklinikleri
Karakoy Sahil Saglik Denetleme Merkezi,hospital,28.97661445945221,41.02203199599985,other_health,karakoy sahil saglik denetleme merkezi
Dünyagöz,hospital,29.04800336335727,40.97684257989029,other_health,dunyagoz
Tepe Özel Kliniği,hospital,29.061566560195665,41.03652547481847,other_health,tepe ozel klinigi
Medipol,hospital,29.034143606559912,41.00483509271596,other_health,medipol
Özel Intermed Çiftehavuzlar Polikliniği,hospital,29.05356495,40.9692906,other_health,ozel intermed ciftehavuzlar poliklinigi
Delta Hospital,hospital,29.125119060981653,40.9461704592894,other_health,delta hospital
Acıbadem Hospital,hospital,28.65590579694557,41.00355858464751,other_health,acıbadem hospital
Liv Hospital Ulus,hospital,29.0285250910283,41.06084116719988,other_health,liv hospital ulus
Medical Park,hospital,28.86301882773928,40.9958435873629,other_health,medical park
Veni Vidi Göz,hospital,29.063020242078665,40.97016062360566,other_health,veni vidi goz
Gökjet Özel Havacılık Mesleki ve Teknik Anadolu Lisesi,hospital,28.53251503987001,41.010626782393445,other_health,gokjet ozel havacılık mesleki ve teknik anadolu lisesi
Medical Park Göztepe,hospital,29.077393607603643,40.98995859559157,other_health,medical park goztepe
Liv Hospital,hospital,29.028500439633827,41.060816624382326,other_health,liv hospital
Medicana Böbrek Nakil Merkezi,hospital,29.082928757078008,41.02465511666907,other_health,medicana bobrek nakil merkezi
Academic Hospital,hospital,29.03500042487624,41.01970298289738,other_health,academic hospital
Medicana Kadıköy,hospital,29.03821944349341,40.98534739337985,other_health,medicana kadıkoy
Pendik Hospital,hospital,29.24436117970368,40.88356997550962,other_health,pendik hospital
Bezmialem Üniversitesi İlhan Varank Yerleşkesi,hospital,28.864831572243155,41.09495526033207,other_health,bezmialem universitesi ilhan varank yerleskesi
Bahçeşehir Semt Polikliniği,hospital,28.683882687081404,41.06246187937359,other_health,bahcesehir semt poliklinigi
Cemal Pamuk Aile Sağlığı Merkezi,hospital,28.78543707661659,40.99913990624546,other_health,cemal pamuk aile saglıgı merkezi
Tuzla Devlet Hastahanesi,hospital,29.30321862088855,40.8443864635755,other_health,tuzla devlet hastahanesi
Okan Üniversitesi Diş Hastanesi,hospital,29.301695579079656,40.85912473266593,clinic_dental,okan universitesi dis hastanesi
Bolluca Sağlık Ocağı,hospital,28.76232084516464,41.19997166462954,other_health,bolluca saglık ocagı
Tuzla Termal Tesisleri,hospital,29.29451722666328,40.84482186334258,other_health,tuzla termal tesisleri
VM Medical Park Pendik,hospital,29.25642505728346,40.880658733824966,other_health,vm medical park pendik
Özel Baypark Hospital,hospital,28.89108340163267,41.0630169664684,other_health,ozel baypark hospital
Özel Medicine Hospital Güneşli,hospital,28.83849859167121,41.03012475878472,other_health,ozel medicine hospital gunesli
Yavuz Selim Devlet Hastanesi Poliklinikleri,hospital,29.20451368112528,40.9016229958577,clinic_dental,yavuz selim devlet hastanesi poliklinikleri
Dünyagöz,hospital,29.11149935946477,40.98440685168008,other_health,dunyagoz
Moodist Psikiyatri ve Nöroloji Hastanesi,hospital,29.05339906983787,41.00232731284003,clinic_dental,moodist psikiyatri ve noroloji hastanesi
Ataşehir Ağız ve Diş Sağlığı Hastanesi,hospital,29.10918889574964,40.99063397448642,clinic_dental,atasehir agız ve dis saglıgı hastanesi
Medicana,hospital,29.082544502138912,41.024299339112,other_health,medicana
Sultantepe ASM,hospital,29.02112942709192,41.02838138954245,other_health,sultantepe asm
Mehmet Remzi Önecek Aile Sağlığı Merkezi,hospital,28.671425176618417,41.04058467286772,other_health,mehmet remzi onecek aile saglıgı merkezi
Teke Köyü Sağlık Evi,hospital,29.664879553611787,41.0688359167503,other_health,teke koyu saglık evi
Kartal Dr Lütfi Kırdar Eğitim ve Araştırma Hastane Polİklİnİklerİ,hospital,29.17100334402083,40.91702481724581,hospital,kartal dr lutfi kırdar egitim ve arastırma hastane poliklinikleri
Büyük Çavuşlu Aile Sağlığı Mer. (Medical Clinic),hospital,28.06448319946214,41.239123108416464,other_health,buyuk cavuslu aile saglıgı mer. (medical clinic)
AsMed,hospital,29.11605420767025,40.99204656578753,other_health,asmed
Ataşehir Florence Nightingale,hospital,29.10930288407853,40.98454923183173,other_health,atasehir florence nightingale
Esthetica,hospital,29.110046684288,40.985160646743104,other_health,esthetica
