name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
Bilfen Otopark,parking,,,29.059611305025143,41.01575675992284,Bilfen Otopark,bilfen otopark,,,parking
Pentaş Havaalanı Otoparkı,parking,,,29.309672557974444,40.92455901847118,Pentaş Havaalanı Otoparkı,pentas havaalan otopark,,,parking
İspark Sabiha Gökçen,parking,,,29.30844394523264,40.9242773103892,İspark Sabiha Gökçen,ispark sabiha gokcen,,,parking
Ümraniye Eğitim ve Araştırma Hastanesi Otoparkı 1,parking,,,29.101334042086577,41.03111314710016,Ümraniye Eğitim ve Araştırma Hastanesi Otoparkı 1,umraniye egitim ve arast rma hastanesi otopark 1,,,parking
İstanbul Havalimanı Otoparkı,parking,,,28.74258748087326,41.25774463444,İstanbul Havalimanı Otoparkı,istanbul havaliman otopark,,,parking
İSPARK,parking,,,29.254022038245697,40.89058747250295,İSPARK,ispark,,,parking
İSPARK,parking,,,29.25400210092324,40.89026179853048,İSPARK,ispark,,,parking
Öğrenci Otoparkı,parking,,,29.131925103130303,40.9531075922709,Öğrenci Otoparkı,ogrenci otopark,,,parking
İSPARK,parking,,,28.97436696629463,41.031918921757246,İSPARK,ispark,,,parking
Atatürk Havalimanı Otoparkı,parking,,,28.819269086090205,40.97941445405156,Atatürk Havalimanı Otoparkı,ataturk havaliman otopark,,,parking
Açık Otopark,parking,,garden,28.931723385562705,41.01509096576828,Açık Otopark,ac k otopark,,,parking
Migros Otoparkı,parking,,,28.940543062890946,41.0159917740715,Migros Otoparkı,migros otopark,,,parking
Ücretsiz Otopark Alanı,parking,,,28.9327998807768,41.01298987194608,Ücretsiz Otopark Alanı,ucretsiz otopark alan,,,parking
Otopark,parking,,,28.932521965955303,41.01452471639629,Otopark,otopark,,,parking
İSPARK Mercan Açık Otoparkı,parking,,,28.967102725966583,41.01355797715005,İSPARK Mercan Açık Otoparkı,ispark mercan ac k otopark,,,parking
İSPARK,parking,,,28.981600548321133,41.0281038513902,İSPARK,ispark,,,parking
İspark Suadiye Sahil Açık,parking,,,29.07956975670674,40.9560951805128,İspark Suadiye Sahil Açık,ispark suadiye sahil ac k,,,parking
İspark Eski Salı Pazarı Otoparkı,parking,,,29.03358037240893,40.990554027167775,İspark Eski Salı Pazarı Otoparkı,ispark eski sal pazar otopark,,,parking
İspark İçerenköy Açık Otoparkı,parking,,,29.104626591578224,40.977451814506864,İspark İçerenköy Açık Otoparkı,ispark icerenkoy ac k otopark,,,parking
İspark Kadıköy Açık Otoparkı,parking,,,29.018591642324125,40.98994293249796,İspark Kadıköy Açık Otoparkı,ispark kad koy ac k otopark,,,parking
Engineering Faculty Parking Lot,parking,,,29.25900354613254,41.02883474734312,Engineering Faculty Parking Lot,engineering faculty parking lot,,,parking
İspark Şemsipaşa Açık Otoparkı,parking,,,29.0095962895588,41.025480036579445,İspark Şemsipaşa Açık Otoparkı,ispark semsipasa ac k otopark,,,parking
Gazi Parkı Otoparkı,parking,,,28.901806657207047,41.09508773612323,Gazi Parkı Otoparkı,gazi park otopark,,,parking
Perpa Ticaret Merkezi Açık Otopark 3,parking,,,28.9711382791632,41.05954081577868,Perpa Ticaret Merkezi Açık Otopark 3,perpa ticaret merkezi ac k otopark 3,,,parking
İspark Çengelköy Açık Otoparkı,parking,,,29.05339881537498,41.04844229065597,İspark Çengelköy Açık Otoparkı,ispark cengelkoy ac k otopark,,,parking
Kuledibi Otopark,parking,,,28.9730208697211,41.02715227457157,Kuledibi Otopark,kuledibi otopark,,,parking
GoPark Merkez Otopark,parking,,,28.915546778524515,41.05699510552233,GoPark Merkez Otopark,gopark merkez otopark,,,parking
İspark,parking,,,29.02086380837188,40.98949119782135,İspark,ispark,,,parking
Süreyyapaşa Kat Otoparkı,parking,,,29.029562038404386,40.98788759168185,Süreyyapaşa Kat Otoparkı,sureyyapasa kat otopark,,,parking
İspark Bostancı İdo Açık Otoparkı 1,parking,,,29.09018427498301,40.95230617205287,İspark Bostancı İdo Açık Otoparkı 1,ispark bostanc ido ac k otopark 1,,,parking
İspark Kadıköy Dalyan Parkı Açık Otoparkı,parking,,,29.064766374108743,40.96340411501752,İspark Kadıköy Dalyan Parkı Açık Otoparkı,ispark kad koy dalyan park ac k otopark,,,parking
İspark Caddebostan Açık Otoparkı,parking,,,29.067350622642937,40.9636603678239,İspark Caddebostan Açık Otoparkı,ispark caddebostan ac k otopark,,,parking
İspark,parking,,,28.789937160449018,40.97122615763328,İspark,ispark,,,parking
İSPARK,parking,,,28.79450134207413,40.96931747441322,İSPARK,ispark,,,parking
Sinanpaşa Otopark,parking,,,29.00320936672274,41.04260630145785,Sinanpaşa Otopark,sinanpasa otopark,,,parking
Süreyyapaşa Göğüs Hastalıkları Hastanesi Misafir Otoparkı,parking,,,29.142526208433072,40.9486252392092,Süreyyapaşa Göğüs Hastalıkları Hastanesi Misafir Otoparkı,sureyyapasa gogus hastal klar hastanesi misafir otopark,,,parking
Novartis Kurtköy - Otopark,parking,,,29.32137329797084,40.936346345836185,Novartis Kurtköy - Otopark,novartis kurtkoy otopark,,,parking
Öğrenci Otoparkı,parking,,,29.19336226805304,40.95973351453532,Öğrenci Otoparkı,ogrenci otopark,,,parking
Öğrenci Otoparkı,parking,,,29.189741444998383,40.95766189293148,Öğrenci Otoparkı,ogrenci otopark,,,parking
Bauhaus Otopark,parking,,,28.656397147579973,41.01051186415427,Bauhaus Otopark,bauhaus otopark,,,parking
Yediemin Otopark,parking,,,29.09827496800694,41.09197869450493,Yediemin Otopark,yediemin otopark,,,parking
Medistate Hastanesi Otoparkı,parking,,,29.100015103100567,41.094079200315306,Medistate Hastanesi Otoparkı,medistate hastanesi otopark,,,parking
Ortak Otopark,parking,,,29.036667387661083,41.11731148466726,Ortak Otopark,ortak otopark,,,parking
İspark Çınar Açık Otoparkı,parking,,,29.00871954298652,41.08511064878262,İspark Çınar Açık Otoparkı,ispark c nar ac k otopark,,,parking
İSPARK,parking,,,29.00767002485445,41.08652922748105,İSPARK,ispark,,,parking
İSPARK,parking,,,29.008345192759645,41.08610396879396,İSPARK,ispark,,,parking
Perpa Ticaret Merkezi Açık Otopark 2,parking,,,28.96918567884913,41.06213383348693,Perpa Ticaret Merkezi Açık Otopark 2,perpa ticaret merkezi ac k otopark 2,,,parking
Cevahir AVM Açık Otopark,parking,,,28.993776594562657,41.06103850295607,Cevahir AVM Açık Otopark,cevahir avm ac k otopark,,,parking
İspark - Miniatürk,parking,,,28.94947498811469,41.058415331327375,İspark - Miniatürk,ispark miniaturk,,,parking
Otopark,parking,,,29.295930214744423,41.13618165910541,Otopark,otopark,,,parking
Karadeniz Otopark,parking,,,28.884486107136592,41.07123874896932,Karadeniz Otopark,karadeniz otopark,,,parking
Metro Otopark,parking,,,29.122710229798724,40.94746033318618,Metro Otopark,metro otopark,,,parking
HAPPY CENTER Müşteri Otoparkı,parking,,,29.17899933199084,41.03240101008385,HAPPY CENTER Müşteri Otoparkı,happy center musteri otopark,,,parking
İspark Pendik Devlet Hastanesi Açık Otoparkı,parking,,,29.22891318996252,40.87747167415908,İspark Pendik Devlet Hastanesi Açık Otoparkı,ispark pendik devlet hastanesi ac k otopark,,,parking
İspark Suadiye Cep Otoparkı,parking,,,29.07355286697494,40.95848845522169,İspark Suadiye Cep Otoparkı,ispark suadiye cep otopark,,,parking
İSPARK,parking,,,29.266560833270603,40.9664451821796,İSPARK,ispark,,,parking
"Koçoğulları Otopark, Oto Yıkama",parking,,,29.262245741833937,40.96749227845036,"Koçoğulları Otopark, Oto Yıkama",kocogullar otopark oto y kama,,,parking
İZÜ Otoparkı,parking,,,28.78921585627529,41.0322199914363,İZÜ Otoparkı,izu otopark,,,parking
İspark,parking,,,28.97719208591768,41.00148535349729,İspark,ispark,,,parking
Taşyapı Özgün Katlı Otopark,parking,,,29.00272605153617,41.06368336184211,Taşyapı Özgün Katlı Otopark,tasyap ozgun katl otopark,,,parking
