name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
Pirelli Apartmanı Otoparkı,parking,,,29.015938597191504,41.089402743336,Pirelli Apartmanı Otoparkı,pirelli apartman otopark,,,parking
Evlendirme Dairesi Otoparkı,parking,,,29.10275771891814,40.94614478989115,Evlendirme Dairesi Otoparkı,evlendirme dairesi otopark,,,parking
Yönetim Binası Otopark,parking,,,29.320580802846624,40.93754996744058,Yönetim Binası Otopark,yonetim binas otopark,,,parking
Personel Otoparkı,parking,,,29.191358905763487,40.958398650286426,Personel Otoparkı,personel otopark,,,parking
Personel Otoparkı,parking,,,29.19186216738774,40.95855542835233,Personel Otoparkı,personel otopark,,,parking
Personel Otoparkı,parking,,,29.192009211172675,40.9588179586106,Personel Otoparkı,personel otopark,,,parking
Personel Otoparkı,parking,,,29.19241892556854,40.95893330119089,Personel Otoparkı,personel otopark,,,parking
İstanbul Büyükşehir Belediyesi personel ve ziyaretçi otoparkı,parking,,,28.95355790955873,41.01389139683579,İstanbul Büyükşehir Belediyesi personel ve ziyaretçi otoparkı,istanbul buyuksehir belediyesi personel ve ziyaretci otopark,,,parking
Altınbaş Üniversitesi Otoparkı,parking,,,28.820051100414645,41.05638972571867,Altınbaş Üniversitesi Otoparkı,alt nbas universitesi otopark,,,parking
Çizgi Rent A Car,parking,,,29.3094303122583,40.91664781704271,Çizgi Rent A Car,cizgi rent a car,,,parking
Piri Reis Üniversitesi Otoparkı,parking,,,29.32311887277024,40.82697183871137,Piri Reis Üniversitesi Otoparkı,piri reis universitesi otopark,,,parking
İSPARK Matbaacılar Sitesi Yanı,parking,,,28.918501860892988,41.02323165821037,İSPARK Matbaacılar Sitesi Yanı,ispark matbaac lar sitesi yan,,,parking
OC Personel Otoparkı,parking,,,28.7181532390587,41.2507629534732,OC Personel Otoparkı,oc personel otopark,,,parking
Servis Alanı,parking,,,29.256809054020263,41.03454834286711,Servis Alanı,servis alan,,,parking
İstanbul Beykent Üniversitesi Beykent Açık Otopark,parking,,,28.62436694371045,41.01986926330839,İstanbul Beykent Üniversitesi Beykent Açık Otopark,istanbul beykent universitesi beykent ac k otopark,,,parking
Personel Otoparkı,parking,,,29.19062125,40.95951979999999,Personel Otoparkı,personel otopark,,,parking
Personel Otoparkı,parking,,,29.19076090495006,40.9596135102664,Personel Otoparkı,personel otopark,,,parking
İspark Bostancı Vergi Dairesi,parking,,,29.1076592,40.9630729,İspark Bostancı Vergi Dairesi,ispark bostanc vergi dairesi,,,parking
İspark Bostancı Vergi Dairesi-2,parking,,,29.1086348,40.9621844,İspark Bostancı Vergi Dairesi-2,ispark bostanc vergi dairesi 2,,,parking
DEVELİ OTO PARK YIKAMA,parking,,,28.9306686,40.9988991,DEVELİ OTO PARK YIKAMA,develi oto park yikama,,,parking
Ak Otopark Yikama,parking,,,28.9335363,41.0013835,Ak Otopark Yikama,ak otopark yikama,,,parking
Kemancı Siteleri Otoparkı,parking,,,28.927619,40.9995691,Kemancı Siteleri Otoparkı,kemanc siteleri otopark,,,parking
Otopark Divanyolu Petrol Ltd. Şti.,parking,,,28.9784752,41.0097984,Otopark Divanyolu Petrol Ltd. Şti.,otopark divanyolu petrol ltd sti,,,parking
Fatih Sitesi Misafir Otoparkı,parking,,,28.9221372,41.0047349,Fatih Sitesi Misafir Otoparkı,fatih sitesi misafir otopark,,,parking
Ensar oto park ot yikama,parking,,,28.9476228,41.0168706,Ensar oto park ot yikama,ensar oto park ot yikama,,,parking
