name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
İETT Topkapı Garajı,parking,,,28.928702425522104,41.01660424565247,İETT Topkapı Garajı,iett topkap garaj,,,parking
Atrium AVM,parking,,,28.84582334520977,40.98813448957785,Atrium AVM,atrium avm,,,parking
İBB Ulaşım AŞ Çobançeşme Garajı,parking,,,28.95472515981897,41.08455347140059,İBB Ulaşım AŞ Çobançeşme Garajı,ibb ulas m as cobancesme garaj,,,parking
2. El Otomotiv Bayisi,parking,,,29.044004220004,41.08465884527327,2. El Otomotiv Bayisi,2 el otomotiv bayisi,,,parking
Sera,parking,,,28.86384156591673,40.9984060050615,Sera,sera,,,parking
Omsan Lojistik Orhanlı Park Sahası,parking,,,29.35243899684496,40.91239061628491,Omsan Lojistik Orhanlı Park Sahası,omsan lojistik orhanl park sahas,,,parking
Oto Yıkama Park,parking,,,28.9858596688922,41.03290939729729,Oto Yıkama Park,oto y kama park,,,parking
Kadıköy Belediyesi Ek Hizmet Biansı,parking,,,29.128509834138185,40.9797001307367,Kadıköy Belediyesi Ek Hizmet Biansı,kad koy belediyesi ek hizmet bians,,,parking
Çağrı Market Müşteri Park Alanı,parking,,,29.13637015917413,41.00310884397302,Çağrı Market Müşteri Park Alanı,cagr market musteri park alan,,,parking
Parktürk Söğütlüçeşme Kadıköy,parking,,,29.0337630652256,40.99253202292297,Parktürk Söğütlüçeşme Kadıköy,parkturk sogutlucesme kad koy,,,parking
Arnavutköy Belediyei Temizlik İşleri Garajı,parking,,,28.74320021025246,41.17685875241634,Arnavutköy Belediyei Temizlik İşleri Garajı,arnavutkoy belediyei temizlik isleri garaj,,,parking
Araç Parkı,parking,,,29.13226471119733,40.93856828137884,Araç Parkı,arac park,,,parking
İETT Sarıgazi Garajı,parking,,,29.20133465207108,41.00399874345096,İETT Sarıgazi Garajı,iett sar gazi garaj,,,parking
köpük oto park,parking,,,29.130201242378543,40.93564493767742,köpük oto park,kopuk oto park,,,parking
Oto Parl-Yıkama,parking,,,29.121942549180154,40.93725625566294,Oto Parl-Yıkama,oto parl y kama,,,parking
Moda Park,parking,,,29.02734683006287,40.98771779368408,Moda Park,moda park,,,parking
Park216 2.El Oto Satış,parking,,,29.27532605391112,40.99730090699648,Park216 2.El Oto Satış,park216 2 el oto sat s,,,parking
Tır Parkı,parking,,,29.37020066292045,40.87190438567581,Tır Parkı,t r park,,,parking
Etçii,parking,,,29.32343179221348,40.86194077328052,Etçii,etcii,,,parking
Cars,parking,,,29.290517405109465,41.10190693648605,Cars,cars,,,parking
Tır Parkı,parking,,,29.290362340041508,41.10292330816012,Tır Parkı,t r park,,,parking
Trucks,parking,,,29.28968044711213,41.10173063515638,Trucks,trucks,,,parking
Araba Parkı,parking,,,29.29130298590186,41.10250560794519,Araba Parkı,araba park,,,parking
Cars,parking,,,29.286558725860623,41.08984722796101,Cars,cars,,,parking
Bi Mola Ömerli Tesisleri Tır Parkı,parking,,,29.28814723895612,41.09120928247538,Bi Mola Ömerli Tesisleri Tır Parkı,bi mola omerli tesisleri t r park,,,parking
Trucks,parking,,,29.28742069155708,41.09092324453016,Trucks,trucks,,,parking
Bi Mola Ömerli Tesisleri Tır Parkı,parking,,,29.28764339322275,41.09157883661135,Bi Mola Ömerli Tesisleri Tır Parkı,bi mola omerli tesisleri t r park,,,parking
