name,amenity,shop,longitude,latitude
Kültür Dershanesi,school,,28.65143486799581,41.01353844053969
Göztepe İhsan Kurşunoğlu Anadolu Lisesi,school,,29.066383828871373,40.97547883805286
Avni Akyol Güzel Sanatlar ve Spor Lisesi,school,,29.071614598186542,40.97730641585497
Marmara Üniversitesi Güzel Sanatlar Fakültesi,school,,29.045961190912426,41.00643684444938
Kuran Kursu,school,,28.67367908711805,41.15496655618094
İhsan Kurşunoğlu Ortaokulu,school,,29.0794104582102,40.99859204982509
Aydın Doğan Güzel Sanatlar Lisesi,school,,29.07509796285605,40.99343818728994
Üsküdar American Academy,school,,29.03242686932865,41.02491582722734
Alev Alatlı Bilim ve Sanat Merkezi (BILSEM),school,,29.059074898670904,40.97513086963109
Kartal Bilim ve Sanat Merkezi,school,,29.194720013359387,40.903577144109256
Ahmet Yesevi Erkek Kuran Kursu,school,,29.306673525425243,40.86451649342541
Aşık Veysel Güzel Sanatlar Lisesi,school,,28.60985605850992,40.98567883493301
Başakşehir Güzel Sanatlar Lisesi,school,,28.7670893823383,41.11724512552126
Alaeddin Yavaşça Güzel Sanatlar Lisesi,school,,28.773733450795017,41.051448918451335
GEÇA Gülistan Erken Çocukluk Atölyesi,school,,29.178335129646385,41.01293040608383
Şöhret Kurşunoğlu Özel Eğitim Meslek Okulu,school,,29.0838386889288,40.977411136093146
Feneryolu Halk Eğitim Merkezi ve Akşam Sanat Okulu,school,,29.04689708168521,40.97597144218136
Pelikan Akademi Gündüz Bakım Evi,school,,28.86918008781453,40.98345213890076
Adıgüzel Güzel Sanatlar Lisesi,school,,29.14000646144077,40.99413921060521
Pendik Bilim ve Sanat Merkezi,school,,29.304905915186986,40.92736810530496
Bank Street Language Institute Mecidiyeköy,school,,28.995919,41.0661706
Fenerbahçe Sürücü Kursu,school,,28.8704674,41.0070598
Birey Dershanesi,school,,28.8704661,41.0069962
Uğur Dershanesi,school,,28.8702436,40.995209
Uğur Dershanesi 2,school,,28.8697206,40.9946583
Hikmet Nazif Kurşunoğlu Mesleki ve Teknik Anadolu Lisesi,school,,28.8250683,41.0314909
Türk Amerikan Derneği Yabancı Dil Kursları,school,,28.8750336,40.976105
Sümbül Efendi Erkek Kuran Kursu,school,,28.9278205,41.0041084
Paşa Özel Sürücü Kursu,school,,28.9306212,41.0038267
Fatih Müftülüğü Hacı İsa Erkek Kuran Kursu,school,,28.9446147,41.0331862
Hazreti Cabir Kız Kuran Kursu,school,,28.9434538,41.0386863
Avrasya Sürücü Kursu,school,,28.9317817,41.0043385
Şeyh Hüsamettin Kız Kuran Kursu,school,,28.9297437,41.0109152
Klasik Türk Sanatları Vakfı,school,,29.0105859,41.0225279
Kadıköy Halk Eğitim ve Akşam Sanat Okulu,school,,29.0287663,40.9868317
Uğur Kurs Merkezi,school,,28.9034832,40.9904773
Adakademi,school,,29.1257438,40.8727543
Hacı Mehmet Emin Gümüş Kuran Kursu,school,,29.2730177,40.8881021
Fenomen Akademi,school,,29.1119121,40.9843049
Büyükçekmece Belediyesi Müjdat Gezen Sanat Akademisi,school,,28.5926459,41.0176711
cma dershane,school,,28.7666032,41.0431637
Atabey Özel Kurs Merkezi,school,,29.3076477,40.8293616
Seviye Kurs,school,,29.1141919,40.9796702
Küçükbakkalköy Bayan Kur'an Kursu,school,,29.1145682,40.9793257
Final Kurs,school,,29.1171013,40.9792992
Özel Cüneyt Altıntaş Kişisel Gelişim Kursu,school,,29.1176609,40.9840624
Birce Özel Öğretim Kursu,school,,28.8748122,40.9793095
Kampüs Fen Bilimleri Özel Öğretim Kursu,school,,29.0642286,40.9826298
Atavip Özel Öğretim Kursu,school,,29.109417,40.9863516
Final Kurs,school,,29.1229715,41.0209544
Final Özel Öğretim Kursu,school,,28.9274519,41.0186333
İsem Akademi,school,,28.8454507,40.992422
Çözüm Kişisel Gelişim Kursu,school,,28.8444379,40.9925035
Kültür Kurs Merkezi,school,,28.8445135,40.9922269
Uğur Kurs,school,,28.8436048,40.9923615
Final Özel Öğretim Kursu,school,,29.1063876,40.9819075
Özel İçerenköy Hedef Kişisel Gelişim Kursu,school,,29.1064906,40.981764
Ataşehir Özel Refika Güzellik Kursu,school,,29.10548,40.9802413
Beyaz Lotus Akademi,school,,29.1107378,40.980469
Özeliz Özel Öğretim Kursu,school,,29.0696953,40.9809818
Elit Özel Öğretim Kursu,school,,29.0758357,40.9800011
TFF Celal-Meral Aras Spor Okulu,school,,29.217542,41.2034112
Final Dershane,school,,29.0978549,40.9844413
Gc Dans spor okulu,school,,29.1407165,40.9867902
