name,amenity,shop,longitude,latitude
Bilfen Çamlıca İlkokulu,school,,29.05856140953972,41.01638855771198
Doğa Koleji Yakacık Kampüsü,school,,29.226713341150887,40.91203940242149
MEF Okulları,school,,29.02370079745018,41.06349847418082
Özel Eyüboğlu Koleji,school,,29.087882523189148,41.01732197466896
Özel Bilfen Koleji,school,,29.11356645346308,40.99155404890848
Özel Doğa Koleji,school,,29.103322141954926,40.98576187710071
İbrahim Hakkı Konyalı İlköğretim Okulu,school,,29.075998931894382,41.04542110505958
Sultanbeyli İbrahim Hakkı Teknik ve Anadolu Lisesi,school,,29.266394887283003,40.99964133088875
Özel Sezin Okulu,school,,29.18468214635492,41.02427138051962
Beylikdüzü Okyanus Koleji,school,,28.649005606416345,41.01440659881548
Uğur Koleji,school,,28.65419909004092,41.01223132841716
Birikim Hayat Koleji,school,,28.827167357905672,41.04007572440608
VKV Koç Özel İlköğretim Okulu ve Lisesi,school,,29.35894704872313,40.91904734637384
Özel Saint-Joseph Fransız Lisesi,school,,29.028304897388807,40.98262731328381
İSTEK Özel Semiha Şakir Okulları,school,,29.05706973106296,40.97192104419694
Çevre Koleji,school,,29.08204075482241,40.9761469718902
Okan Koleji,school,,29.38814836424512,40.94888440311422
Milli Eğitim Vakfı Özel Basınköy İlköğretim Okulu,school,,28.781246342741937,40.97918741068983
Doğa Koleji,school,,29.046269039109777,41.0004324878464
Bilfen Bahçeşehir Kampüsü,school,,28.67523361509838,41.06905032452561
Bahçelievler Okyanus Koleji,school,,28.87707848183008,41.00142934173672
İBB Akşemsettin Ortaokulu,school,,28.80461317378189,41.11931924207919
Velibaba Çok Programlı Anadolu Lisesi,school,,29.2469723246274,40.90622347590802
Atakent Doğa Koleji,school,,29.10676960152756,41.02247382714427
Bahçeşehir Boğazköy Ortaokulu,school,,28.66218507849228,41.08073222498825
Bahçeşehir Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,school,,28.662938393804765,41.08084401115168
Vali Rıdvan Yenişen İlkolu,school,,28.709522258162306,41.00120476847151
Mahmut Şevket Zırh İlkokulu,school,,28.749059340791792,41.085048805101614
Ulus Özel Musevi Okulları,school,,29.028951426497105,41.06904145657802
Yıldız Koleji,school,,29.01735380702543,41.07457095248375
Özel St. Michel Fransız Lisesi,school,,28.98432098532625,41.05499812795251
Özel Aydos Cebir Koleji,school,,29.28526685812189,40.92641725417933
Uğur Okulları Ataşehir Kampüsü,school,,29.111267438770785,40.98503993434944
Alibeyköy Ortakulu,school,,28.940185914187023,41.07208093047255
Doğa Koleji,school,,28.52889373649373,41.009433959868325
Elit Gençler Koleji,school,,28.86642721675252,40.99984534870809
Robert Kolej,school,,29.035571260585087,41.06748002331256
Özel Bahariye Anadolu Lisesi,school,,29.031365398135623,40.9864381855003
Özel Bahçeşehir Koleji Kartal Anadolu Lisesi,school,,29.208284025419665,40.88624678454083
Özel Güller Anadolu Sağlık Meslek Lisesi,school,,29.260498560408905,40.96760298987078
şefkat koleji,school,,28.83228131284118,41.01770086738327
Yeşilköy Özel Eğitim Ortaokulu,school,,28.82349605032819,40.96092245742409
Bahçeşehir Koleji,school,,28.79738647487516,40.97632942525302
Özel Florya Koleji,school,,28.792480051038734,40.97989503470001
Bilfen Florya Ortaokulu,school,,28.784360022670164,40.98226356380778
Uğur Koleji,school,,28.794174911871355,40.98969820647338
Avcılar İhkib Mesleki ve Teknik Anadolu Lisesi,school,,28.72074538120008,40.97504416164658
Özel Arel Koleji Yenibosna,school,,28.824273181235725,41.01811495330375
Sultanbeyli Özel Mesleki Eğitim Merkezi,school,,29.2588795660284,40.98406217568435
Sancaktepe İbni Sina İlkokulu,school,,29.24734269748647,40.98400428207105
Sancaktepe İbni Sina Ortaokulu,school,,29.247552484331468,40.98456957312125
Özel Efdal İlkokulu ve Ortaokulu,school,,29.060271520743427,40.97362187724602
Türk Telekom Şehit Murat Naiboğlu Anadolu Lisesi,school,,29.28291766055588,40.98433228349149
Ihsan International School Atakent,school,,28.774832939172384,41.049675853631975
Özel Bilfen Çekmeköy Anaokulu,school,,29.161749600222304,41.03725965150682
Bilfen Esenşehir İlköğretim Okulu,school,,29.17774368265632,41.01193344994097
Ataşehir-2 Bil Koleji,school,,29.133181553624247,40.98482310331523
ERA Kolejleri Çekmeköy Kampüsü,school,,29.17827694895586,41.045644239595525
Balkanlar Koleji,school,,29.2457393883722,40.87921144997397
Birikim Koleji Pendik Kampüsü,school,,29.24922350679524,40.87559823747427
İkbal Koleji,school,,29.24394076147506,40.87987176490215
Çekmeköy Okyanus Koleji,school,,29.17439457621532,41.0501235062563
Bahçeşehir Okulları Çekmeköy Kampüsü,school,,29.173650258666964,41.05132381945503
Velibaba İlkokulu,school,,29.252410543068653,40.90991017299181
Tuzla Özel Eğitmen Temel Lisesi,school,,29.30975267429588,40.82213695944007
Bahçeşehir Koleji,school,,28.688463174362887,41.06424251182075
Ataşehir İbrahim Müteferrika Mesleki ve Teknik Anadolu Lisesi,school,,29.158656937090324,40.99037135085935
Şakire Hanım Özel Eğitim Uygulama Okulu,school,,29.121753895219165,41.0254799281423
Açı Koleji,school,,28.829422293767056,41.02821617699648
Özel Şafak Bağcılar Mesleki ve Teknik Anadolu Lisesi,school,,28.84987429413304,41.05722047316454
Bahçeşehir Koleji,school,,29.108872621279485,41.00789998580624
Okyanus Koleji,school,,28.89199496710308,41.04384951744679
Asım Kibar Otelcilik ve Turizm Meslek Lisesi,school,,29.29643570709362,40.85740502675717
Doğa Koleji,school,,29.29698427941642,40.85928053440886
Özel Yeşil Doğa Koleji,school,,28.982550864735803,41.05790952609045
Gökkuşağı Koleji,school,,28.64989333272675,41.07338358128448
İbrahim Saime Zıpkın İlköğretim Okulu,school,,29.23616943179523,40.9215780777808
Özel İbni Sina Anadolu Sağlık Meslek Lisesi,school,,29.24428992878159,40.89574704040073
Özel Buğra Anadolu Otelcilik ve Turizm Meslek Lisesi,school,,29.242876351856985,40.88475206535075
Öğretmen İbrahim Öztürk İlkokulu,school,,29.224325366263383,40.89232321831479
Özel Turkuaz Teknoloji Koleji,school,,29.24165197033232,40.88389848454361
Özel Bayramlar İlkokulu,school,,29.24142706888196,40.88398883154642
Özel Rasyonel Teknoloji Koloji,school,,29.241606960687115,40.88562572822117
Özel Eryetiş Reis Denizcilik Meslek Lisesi,school,,29.241007520724903,40.88606236375277
Kaynarca Şevket Sabancı Anadolu Lisesi,school,,29.26690407806599,40.87889851613212
Ergenekon İbrahim Şakir İlkokulu,school,,29.165922011936228,40.903443535433
Uğur Okulları Kurtköy Kampüsü,school,,29.30156570526527,40.93455783075494
Doğa Koleji Kurtköy Kampüsü,school,,29.28423161627012,40.92874805050382
Bayramlar Koleji Kurtköy Kampüsü,school,,29.3203602765935,40.9334050175733
Eğitmen Koleji Tuzla Villa Kampüsü,school,,29.29103881548593,40.81979362693361
Özel Acıbadem Okulu,school,,29.03654038396161,41.0017877062746
Çağla Koleji,school,,29.048153675481256,41.00096121769616
Doğa Koleji Bahçelievler,school,,28.879974937788383,41.00960058018036
Mustafa Mihriban Boysan Ortaokulu,school,,29.088495729280503,40.96392541409573
Vala Gedik Özel Eğitim Mesleki Eğitim Merkezi,school,,29.305996740566712,40.85017364477572
Seyir Koleji,school,,29.30091392377796,40.846379109200704
Uğur Okulları,school,,29.15029792846131,40.91467300443952
Era Koleji,school,,29.19782581306044,40.90490985936098
Çam Koleji,school,,29.198166041360555,40.90618399119782
Kıraç Koleji,school,,29.174416936810047,40.89549774719155
Uğur Okulları Atakent Ümraniye Kampüsü,school,,29.1051539681701,41.01895140351951
Özel Üsküdar Sev Ortaokulu,school,,29.07196730927988,41.01583315531328
Özel Çamlıca Kalem İlkokulu,school,,29.07089092002172,41.02750448888575
İsabet Koleji,school,,29.071685755024447,41.02809323539098
İstanbul İnternational School,school,,29.067986062887258,41.02398391409345
Doğa Koleji Çamlıca Kampüsü,school,,29.06845353574804,41.023300164418806
Era Koleji Çamlıca Kampüsü,school,,29.073701253516685,41.021273001786085
Okyanus Koleji Ataşehir Kampüsü,school,,29.10078894940829,40.98911223144805
Bil Koleji Ataşehir Kampüsü,school,,29.09660949633131,40.98881926233422
Yunus Emre Özel Eğitim İş Uygulama Okulu,school,,29.147732991743226,40.99339419049796
Doğa Koleji Ataşehir 2 Kampüsü,school,,29.13607537918619,40.99169247835774
