name,amenity,shop,longitude,latitude,market_type
MMM Migros,,supermarket,29.1246297599018,40.92581058139495,chain
Migros,,supermarket,29.065097171489423,40.963557073993925,chain
Migros,,supermarket,29.040349913197844,40.97655701857842,chain
Macrocenter,,supermarket,29.04734114241337,40.97370119079871,unknown
CarrefourSA,,supermarket,29.15224496409675,40.99151083914556,chain
Migros,,supermarket,29.12649399689574,40.99199612412727,chain
CarrefourSA,,supermarket,29.049241921038924,41.118150802599686,chain
Migros,,supermarket,29.049722096782467,41.11627296695541,chain
Migros,,supermarket,29.30759815856734,40.92831943845522,chain
Migros,,supermarket,29.021477599533924,41.20837716940204,chain
Migros,,supermarket,28.89402699177352,41.00607153440483,chain
Migros,,supermarket,29.033084906894963,41.21875960241535,chain
MMM Migros,,supermarket,29.07905037217314,41.08092237797472,chain
Migros,,supermarket,29.04150342235289,41.010353972334,chain
CarrefourSA,,supermarket,29.024766242336657,41.05881171340264,chain
File,,supermarket,29.13687485,40.92162955,local
Migros,,supermarket,28.811379295233344,41.06813053036245,chain
Migros,,supermarket,28.88100320421905,40.98024205783513,chain
MM Migros,,supermarket,29.17607180809204,41.02879126281571,chain
Migros,,supermarket,29.02357268276539,41.05571718328637,chain
CarrefourSA,,supermarket,29.0267520177765,40.99268587793543,chain
Migros,,supermarket,29.24063166135856,40.88191728544648,chain
Migros,,supermarket,29.165043448178043,40.89836762655538,chain
MMM Migros,,supermarket,29.17643109134823,41.042034293338965,chain
Migros,,supermarket,29.193037744760765,41.00711327815221,chain
Şok,,supermarket,29.135706814954176,40.917327342647255,chain
A101,,supermarket,29.10376772339361,41.01510214113821,chain
Migros,,supermarket,28.825782866666664,41.017326466666674,chain
Migros,,supermarket,29.2340107641188,40.871924839733246,chain
Migros,,supermarket,29.098110969072938,40.97382417914942,chain
Migros,,supermarket,29.295734204715224,40.923780506549626,chain
File,,supermarket,29.03252149476164,41.2179435082927,local
Carrefour,,supermarket,29.03259475646798,41.2173409220379,chain
File,,supermarket,29.011531204056435,41.02410873006676,local
A101,,supermarket,29.02433649544769,41.10326965466925,chain
CarrefourSA,,supermarket,29.00026261791228,41.05410365159201,chain
Migros,,supermarket,28.798143700000004,41.04357175,chain
Carrefour Market,,supermarket,28.600547833462937,41.08886498487908,chain
Migros,,supermarket,29.139897047061226,40.99951517842375,chain
Carrefour,,supermarket,28.909035128748663,41.05842779263703,chain
Migros,,supermarket,29.364266705080755,40.93608576468101,chain
Şok,,supermarket,29.09029573947281,40.97028067714654,chain
Şok,,supermarket,28.38117167006139,41.40352349370114,chain
A101,,supermarket,29.11982334339356,40.97073959467313,chain
Migros,,supermarket,29.035888381926583,41.05987714891981,chain
CarrefourSA,,supermarket,28.71032129663906,40.9813669807621,chain
CarrefourSA,,supermarket,28.658904219026955,40.97499603825448,chain
Şok,,supermarket,29.23523831597743,40.966606584130936,chain
A101,,supermarket,28.90772734303754,41.06030999144137,chain
A101,,supermarket,28.90951314228576,41.05863158736607,chain
