name,amenity,shop,longitude,latitude,market_type
Hakmar,,supermarket,29.14245455,40.92899995,chain
Uyum Market,,supermarket,28.67692408000093,41.05759476870604,local
Uyum Market,,supermarket,29.072416810760984,41.05814351670579,local
Emin Hipermarket,,supermarket,29.053478777295165,41.03431686484421,local
Showmar,,supermarket,29.094565874543147,41.03445680406182,local
Sarıyer Market,,supermarket,29.031727324875828,41.2152737867379,local
Çelik Süpermarket,,supermarket,29.1175452,40.968699650000005,local
Çağrı Market,,supermarket,29.136831438047817,41.00290920670606,local
Anpa Gross Kartal,,supermarket,29.21125077252542,40.91269118453263,local
UCZ Market,,supermarket,29.44023955,41.19331329999999,local
Oruç Market,,supermarket,29.14140955047836,40.93909981687647,local
HAPPY  CENTER,,supermarket,29.179291511211293,41.03259128647421,unknown
paska süper market,,supermarket,29.129627900000003,40.93642415000001,local
MOPAŞ,,supermarket,29.1362088,40.93339965,local
özer hipermarket,,supermarket,29.087913484441632,41.09309669481108,local
Namlı Market,,supermarket,29.09721423444434,41.09514377912782,local
mopaş,,supermarket,29.08686333906041,41.09648665381819,local
Happy Center,,supermarket,29.13415987186972,40.92993655288839,unknown
Snowy Market,,supermarket,28.874730114872552,41.0522499338607,local
Hakmar,,supermarket,29.215855102724728,41.00778282128089,chain
Çağrı Süpermarket,,supermarket,29.22761212213418,40.88400591909116,local
Hakmar,,supermarket,29.33303286659564,40.86349449074402,chain
Grup 7,,supermarket,29.34029466424494,40.86002083221008,local
Bizim Toptan Market,,supermarket,29.234537952718693,40.87255378876343,local
Özkuruşlar Market,,supermarket,29.22496786757248,40.92088333934431,local
Berka hipermarket,,supermarket,29.257034649999994,41.00535265,local
Happy Center,,supermarket,29.107562407227405,41.02129095955319,unknown
Tespo,,supermarket,28.90509889119994,41.07092893739011,local
Namlı Hipermarketleri,,supermarket,29.09190148417369,41.13468177365296,local
Özenler Market,,supermarket,28.97451951544893,41.08710651805763,local
Grosper,,supermarket,29.07990841055897,41.01876748300336,local
Resuloğlu Toptan & Perakende,,supermarket,29.116469537811607,40.98487388804089,local
Onur Market,,supermarket,28.789776576161493,41.05639440949547,chain
Cağrı,,supermarket,29.141130675258044,41.00781949850811,local
Mopaş,,supermarket,29.132927251971804,41.00592120058796,local
Kooperatif,,supermarket,28.46198888254804,41.14510889094144,local
Bizim,,supermarket,29.03338689584506,41.00362969189648,local
Happy Center,,supermarket,28.8043517,41.1006434,unknown
