name,amenity,shop,leisure,longitude,latitude,pool_norm,exact_hit,fuzzy_match,fuzzy_score,fuzzy_hit,is_avm
Zorlu Center,,mall,,29.017172297864683,41.06649569534644,zorlu,False,torium,54.54545454545455,False,False
Watergarden AVM,,mall,,29.09950861081127,40.99768674904502,watergarden,False,paradise,52.63157894736842,False,False
Rings AVM,,mall,,29.240525236839,40.973535578161325,rings,False,arissa,54.54545454545455,False,False
Mısır Çarşısı,marketplace,mall,,28.971001345243263,41.01644457560809,m s r cars s,False,sapphire cars,57.142857142857146,False,False
Büyük Beşiktaş Çarşısı,,mall,,29.005254832530994,41.0427346711966,buyuk besiktas cars s,False,beylikduzu migros,47.36842105263158,False,False
Sinanpaşa İş Merkezi,,mall,,29.00596793920184,41.04293739764473,sinanpasa is,False,city s nisantas,51.851851851851855,False,False
Tepe Nautilus Alışveriş Merkezi,,mall,,29.03151479989585,40.99961640561977,tepe nautilus al sveris,False,kanyon al sveris,72.0,False,False
Optimum Premium Outlet,,mall,,29.08575955832054,40.98873354039239,optimum premium outlet,False,olivium outlet,66.66666666666666,False,False
Viaport Outlet Avm,,mall,,29.324913428515934,40.937623072672665,viaport outlet,False,espri outlet,69.23076923076923,False,False
İstinye Park,,mall,,29.032460230824096,41.1103025836925,istinye park,False,green park,57.142857142857146,False,False
Trump Alışveriş Merkezi,,mall,,28.992326310387117,41.06842883639193,trump al sveris,False,atakoy plus al sveris,75.0,False,False
Beylicium AVYM,,mall,,28.649178748404168,41.01155924415501,beylicium avym,False,beylicium al sveris ve yasam,78.26086956521739,False,False
MediaMarkt Beylikdüzü,,mall,,28.670422777022747,41.007395871934186,mediamarkt beylikduzu,False,beylikduzu migros,74.07407407407408,False,False
Spotçular Çarşısı,,mall,,28.619109193892783,41.02635909698666,spotcular cars s,False,sapphire cars,55.172413793103445,False,False
Uyum Çarşı,,mall,,28.626466575224534,41.00530151139501,uyum cars,False,sapphire cars,61.53846153846154,False,False
Akbatı AVYM,,mall,,28.667729106637037,41.056447253290834,akbat avym,False,akbat al sveris ve yasam,66.66666666666666,False,False
Grandhaus,,mall,,29.13141091026564,40.92580856808946,grandhaus,False,bauhaus,62.5,False,False
Fırat Pasajı,,mall,,29.02438744218143,40.99038804736765,f rat pasaj,False,marmara forum,50.0,False,False
Kozzy Alışveriş Merkezi,,mall,,29.091827656103607,40.96932521889754,kozzy al sveris,False,kanyon al sveris,77.41935483870968,False,False
Prestige Mall AVM,,mall,,28.690993832781142,41.06772161681266,prestige,False,paradise,50.0,False,False
Marmara Park,,mall,,28.659885596966365,41.00973548723992,marmara park,False,marmara forum,73.6842105263158,False,False
Eskidji Bit Pazarı Haramidere,,mall,,28.67416394071453,41.00969152354413,eskidji bit pazar haramidere,False,tekmerkez,43.24324324324324,False,False
İnciler Pasajı,,mall,,28.654619561445607,41.01206817916302,inciler pasaj,False,beylicium al sveris ve yasam,43.90243902439025,False,False
Innovia 2 Çarşı,,mall,,28.655808286473608,41.019918616575694,innovia 2 cars,False,astoria,47.61904761904762,False,False
Kadıköy Çarşısı,,mall,,29.023388409970032,40.99015042764195,kad koy cars s,False,kadir has,52.17391304347826,False,False
Eskule AVM,,mall,,28.680825202847032,41.034436154345606,eskule,False,espri outlet,55.55555555555556,False,False
Emintaş İş Merkezi,,mall,,29.025523311749986,40.99216295552145,emintas is,False,city s nisantas,56.0,False,False
Çetinkaya,,mall,,29.031733053747335,40.989375516207126,cetinkaya,False,city s nisantas,41.666666666666664,False,False
Buyaka AVM,,mall,,29.12751291724108,41.02640035730519,buyaka,False,bauhaus,46.15384615384615,False,False
Kent Çarşı,,mall,,29.10432599666565,40.99723546638594,kent cars,False,sapphire cars,61.53846153846154,False,False
Mozaik Çarşı,,mall,,29.135390816201667,40.98989889093054,mozaik cars,False,sapphire cars,58.333333333333336,False,False
World Atlantis AVM,,mall,,29.310532771756844,40.92822259351921,world atlantis,False,wedding world evlilik ve alt n,52.63157894736842,False,False
Vialand Alışveriş Merkezi,,mall,,28.923073816161303,41.07437043543605,vialand al sveris,False,kanyon al sveris,72.72727272727272,False,False
